symbol,control_1,control_2,control_3,Hoxa1KN_1,Hoxa1KN_2,Hoxa1KN_3
SYT5,5.0343,4.6285,4.5874,4.7181,4.9766,4.8725
SYT7,5.5007,6.0249,5.8145,6.3504,5.6291,6.0623
SYTL2,9.4135,9.5284,9.4023,7.2045,7.5242,7.3496
SYTL3,5.5783,5.7602,5.9427,5.6041,5.5142,5.3475
SYTL4,7.5821,7.6312,7.4919,7.5699,7.6246,7.5387
SYTL5,5.722,5.8449,5.7459,7.701,7.3082,7.5824
SYVN1,9.6248,9.6173,9.6848,10.2651,10.1311,10.224
SZRD1,11.7987,11.8758,11.8873,12.4163,12.4173,12.4609
SZT2,9.5474,9.3249,9.3929,9.617,9.4229,9.5024
TAB1,8.8973,8.7867,8.8169,8.7055,8.5307,8.6892
TAB2,10.4614,10.5499,10.5039,10.1128,10.2232,10.2571
TAB3,8.8744,8.8731,8.7745,8.7454,8.9062,8.723
TACC1,11.6222,11.7557,11.663,10.9528,11.0482,10.9567
TACC2,8.6321,8.8288,8.7601,9.6033,9.5578,9.6779
TACC3,9.7929,9.9183,10.0757,7.3242,7.4941,7.3496
TACO1,8.2128,8.141,8.23,8.0174,8.0479,7.7612
TACR1,4.427,3.6702,3.938,6.4589,6.3692,6.7822
TACR2,3.1705,2.8627,3.3362,3.7619,3.1274,3.0143
TADA1,6.3932,6.863,6.7623,5.8893,6.1747,6.2285
TADA2A,6.8651,6.8357,7.2818,7.0511,6.9694,5.8542
TADA2B,8.8667,8.9063,9.0267,9.1153,9.0627,9.0986
TADA3,10.4159,10.3783,10.46,10.6728,10.5979,10.6438
TAF1,9.2122,9.1167,9.0553,9.0675,9.1375,9.0704
TAF10,9.3623,9.2648,9.268,9.3636,9.1946,9.3228
TAF11,8.4583,8.4465,8.3922,9.1318,9.1687,9.2041
TAF12,8.3352,8.2843,8.3734,8.5949,8.6099,8.5827
TAF13,10.0185,10.1326,9.9492,10.1778,10.1814,10.2142
TAF15,10.1418,10.0489,9.9581,10.0228,9.9618,9.9906
TAF1A,5.6874,5.6704,5.9427,6.2532,5.7611,5.562
TAF1B,8.1759,8.3677,8.2915,8.2161,8.2634,8.3023
TAF1C,8.4428,8.4006,8.4933,7.9003,8.0427,7.9252
TAF1D,9.7807,9.812,9.7045,9.469,9.5004,9.4579
TAF3,8.1055,7.8787,7.8543,8.081,8.1857,7.9492
TAF4,7.1199,7.454,7.4129,7.0511,6.9024,7.0632
TAF4B,4.659,4.6908,4.5874,5.1654,5.1789,5.4317
