"Term","GO","id","level"
"serotonin receptor signaling pathway","biological_process","GO:0007210",6
"serotonin receptor signaling pathway","biological_process","GO:0007210",7
"octopamine or tyramine signaling pathway","biological_process","GO:0007211",7
"octopamine or tyramine signaling pathway","biological_process","GO:0007211",6
"dopamine receptor signaling pathway","biological_process","GO:0007212",6
"dopamine receptor signaling pathway","biological_process","GO:0007212",7
"G protein-coupled acetylcholine receptor signaling pathway","biological_process","GO:0007213",7
"G protein-coupled acetylcholine receptor signaling pathway","biological_process","GO:0007213",6
"gamma-aminobutyric acid signaling pathway","biological_process","GO:0007214",6
"gamma-aminobutyric acid signaling pathway","biological_process","GO:0007214",7
"glutamate receptor signaling pathway","biological_process","GO:0007215",6
"glutamate receptor signaling pathway","biological_process","GO:0007215",7
"G protein-coupled glutamate receptor signaling pathway","biological_process","GO:0007216",7
"G protein-coupled glutamate receptor signaling pathway","biological_process","GO:0007216",6
"tachykinin receptor signaling pathway","biological_process","GO:0007217",7
"tachykinin receptor signaling pathway","biological_process","GO:0007217",6
"neuropeptide signaling pathway","biological_process","GO:0007218",6
"neuropeptide signaling pathway","biological_process","GO:0007218",7
"Notch signaling pathway","biological_process","GO:0007219",7
"Notch signaling pathway","biological_process","GO:0007219",6
"Notch receptor processing","biological_process","GO:0007220",6
"positive regulation of transcription of Notch receptor target","biological_process","GO:0007221",9
"positive regulation of transcription of Notch receptor target","biological_process","GO:0007221",8
"positive regulation of transcription of Notch receptor target","biological_process","GO:0007221",10
"positive regulation of transcription of Notch receptor target","biological_process","GO:0007221",7
"Wnt signaling pathway, calcium modulating pathway","biological_process","GO:0007223",9
"Wnt signaling pathway, calcium modulating pathway","biological_process","GO:0007223",8
"smoothened signaling pathway","biological_process","GO:0007224",7
"smoothened signaling pathway","biological_process","GO:0007224",6
"patched ligand maturation","biological_process","GO:0007225",4
"patched ligand maturation","biological_process","GO:0007225",7
"signal transduction downstream of smoothened","biological_process","GO:0007227",7
"signal transduction downstream of smoothened","biological_process","GO:0007227",6
"positive regulation of hh target transcription factor activity","biological_process","GO:0007228",5
"positive regulation of hh target transcription factor activity","biological_process","GO:0007228",7
"positive regulation of hh target transcription factor activity","biological_process","GO:0007228",10
"integrin-mediated signaling pathway","biological_process","GO:0007229",6
"integrin-mediated signaling pathway","biological_process","GO:0007229",7
"obsolete calcium-o-sensing receptor pathway","biological_process","GO:0007230",NA
"osmosensory signaling pathway","biological_process","GO:0007231",5
"osmosensory signaling pathway","biological_process","GO:0007231",6
"osmosensory signaling pathway via Sho1 osmosensor","biological_process","GO:0007232",6
"osmosensory signaling pathway via Sho1 osmosensor","biological_process","GO:0007232",7
"osmosensory signaling via phosphorelay pathway","biological_process","GO:0007234",7
"osmosensory signaling via phosphorelay pathway","biological_process","GO:0007234",6
"obsolete activation of Ypd1 protein","biological_process","GO:0007235",NA
"obsolete activation of Ssk1 protein","biological_process","GO:0007236",NA
"obsolete activation of Ssk2/Ssk22 proteins","biological_process","GO:0007237",NA
"obsolete activation of Pbs2","biological_process","GO:0007238",NA
"obsolete activation of Hog1","biological_process","GO:0007239",NA
"obsolete nuclear translocation of Hog1","biological_process","GO:0007240",NA
"obsolete inactivation of Hog1","biological_process","GO:0007241",NA
"obsolete MAPKKK cascade (mating sensu Saccharomyces)","biological_process","GO:0007244",NA
"obsolete activation of MAPKKK (mating sensu Saccharomyces)","biological_process","GO:0007245",NA
"obsolete activation of MAPKK (mating sensu Saccharomyces)","biological_process","GO:0007246",NA
"obsolete activation of MAPK (mating sensu Saccharomyces)","biological_process","GO:0007247",NA
"obsolete nuclear translocation of MAPK (mating sensu Saccharomyces)","biological_process","GO:0007248",NA
"I-kappaB kinase/NF-kappaB signaling","biological_process","GO:0007249",6
"I-kappaB kinase/NF-kappaB signaling","biological_process","GO:0007249",7
"activation of NF-kappaB-inducing kinase activity","biological_process","GO:0007250",7
"activation of NF-kappaB-inducing kinase activity","biological_process","GO:0007250",8
"activation of NF-kappaB-inducing kinase activity","biological_process","GO:0007250",10
"activation of NF-kappaB-inducing kinase activity","biological_process","GO:0007250",9
"obsolete activation of the inhibitor of kappa kinase","biological_process","GO:0007251",NA
"I-kappaB phosphorylation","biological_process","GO:0007252",8
"I-kappaB phosphorylation","biological_process","GO:0007252",7
"cytoplasmic sequestering of NF-kappaB","biological_process","GO:0007253",13
"cytoplasmic sequestering of NF-kappaB","biological_process","GO:0007253",11
"cytoplasmic sequestering of NF-kappaB","biological_process","GO:0007253",8
"JNK cascade","biological_process","GO:0007254",9
"JNK cascade","biological_process","GO:0007254",8
"obsolete activation of JNKK activity","biological_process","GO:0007256",8
"obsolete activation of JNKK activity","biological_process","GO:0007256",9
"obsolete activation of JNKK activity","biological_process","GO:0007256",10
"obsolete activation of JUN kinase activity","biological_process","GO:0007257",9
"obsolete activation of JUN kinase activity","biological_process","GO:0007257",11
"obsolete activation of JUN kinase activity","biological_process","GO:0007257",12
"JUN phosphorylation","biological_process","GO:0007258",8
"JUN phosphorylation","biological_process","GO:0007258",9
"receptor signaling pathway via JAK-STAT","biological_process","GO:0007259",8
"receptor signaling pathway via JAK-STAT","biological_process","GO:0007259",7
"tyrosine phosphorylation of STAT protein","biological_process","GO:0007260",8
"tyrosine phosphorylation of STAT protein","biological_process","GO:0007260",9
"obsolete JAK-induced STAT protein dimerization","biological_process","GO:0007261",NA
"nitric oxide mediated signal transduction","biological_process","GO:0007263",7
"nitric oxide mediated signal transduction","biological_process","GO:0007263",8
"small GTPase mediated signal transduction","biological_process","GO:0007264",7
"small GTPase mediated signal transduction","biological_process","GO:0007264",6
"Ras protein signal transduction","biological_process","GO:0007265",8
