"Term","GO","id","level"
"obsolete mitotic sister-chromatid adhesion release","biological_process","GO:0007081",NA
"obsolete mitotic chromosome decondensation","biological_process","GO:0007083",7
"obsolete mitotic chromosome decondensation","biological_process","GO:0007083",8
"mitotic nuclear membrane reassembly","biological_process","GO:0007084",5
"mitotic nuclear membrane reassembly","biological_process","GO:0007084",6
"obsolete nuclear membrane vesicle binding to chromatin","biological_process","GO:0007085",NA
"vesicle fusion with nuclear membrane involved in mitotic nuclear envelope reassembly","biological_process","GO:0007086",6
"vesicle fusion with nuclear membrane involved in mitotic nuclear envelope reassembly","biological_process","GO:0007086",8
"mitotic nuclear pore complex reassembly","biological_process","GO:0007087",6
"mitotic nuclear pore complex reassembly","biological_process","GO:0007087",8
"regulation of mitotic nuclear division","biological_process","GO:0007088",8
"regulation of mitotic nuclear division","biological_process","GO:0007088",6
"traversing start control point of mitotic cell cycle","biological_process","GO:0007089",8
"traversing start control point of mitotic cell cycle","biological_process","GO:0007089",9
"obsolete regulation of S phase of mitotic cell cycle","biological_process","GO:0007090",NA
"metaphase/anaphase transition of mitotic cell cycle","biological_process","GO:0007091",6
