genes,WTvsMu_lfc,IRvsMock_lfc,Interaction_lfc
Rac1,0.089254334,0.075087873,-0.395467668
Ugp2,-0.014057208,0.340649087,-0.594076895
Kcnh6,-0.190747559,-1.888590263,1.381829173
Siae,0.138116988,-0.590031232,-0.020201497
Gria3,-0.371822659,-0.192650134,3.452065577
Sipa1l2,-0.008488765,-1.456927847,0.834582282
Srpk3,-0.286612998,-1.364764917,-0.705342469
Idh3g,-0.165591272,0.680341856,-0.442188661
Pnck,-1.297127167,-0.966606713,1.681792948
Bcap31,-0.112841416,0.35677061,-0.519920289
Unc119,-0.048601269,-0.170818161,-0.344124726
Sdf2,-0.108066799,-0.436979006,0.070856614
Ccne1,-0.012553764,-1.579017655,0.145135392
Bbc3,0.668924794,0.199918569,5.774002758
Psmc3,-0.049257739,1.476729378,-0.716370623
Rapsn,-0.496268107,0.653712724,0.750287477
Celf2,0.005687588,-0.490590432,-0.361164655
Ddb2,-0.188625396,-0.609255196,0.172416788
Rmnd5a,-0.082399265,0.060449252,-0.347215773
Ppm1j,0.027159474,-0.118822396,0.40587554
Peg3,-0.076977199,0.304879705,0.861594473
Metrn,-0.24676408,0.553918315,-0.487793898
Angptl4,0.391091485,1.293225506,-1.602052187
Cd320,-0.19730292,2.32381591,-0.497196861
Ipo4,-0.050838431,2.465230563,-0.3669123
Irf9,-0.115508723,0.028383326,-0.141706571
Dhrs1,0.012294781,-0.544263518,0.134531853
Armc6,-0.068642065,1.771332825,-1.291195666
Slc25a42,0.125489112,0.059971597,2.266318647
Ocel1,0.043567037,0.326839589,-0.47015074
Dyrk1b,-0.190293164,-0.327522081,-0.183354368
Rgs19,-0.060439443,0.271768951,-0.631600028
Snrpd1,0.137439536,2.516999959,-1.223416995
Rpl3l,-1.633726759,-0.951547047,1.482543253
Slc9a3r2,-0.707609247,-0.800162818,0.563760861
Scin,-0.294395827,-0.074526144,-0.097800841
Mien1,0.057071427,0.842163596,-0.790458558
Axl,0.389787122,-0.957313934,0.224957442
Tgfb1,-0.19814789,-0.611735447,0.256187392
Zfp40,-0.254474716,-0.009479681,-0.099464041
Shh,0.049794568,-0.59077599,0.533366844
Gtf2f1,0.058982017,1.997120079,-0.697453998
Clpp,-0.032793598,1.649090249,-0.861665032
Alkbh7,-0.242997895,0.71038029,-0.599470401
Dennd1c,0.010368338,-1.341447919,0.623357704
Lcp2,0.370453997,-0.499910652,0.371438329
Mrpl2,-0.17697715,1.483124653,-0.831703568
Gnmt,-0.08391021,1.498506715,0.065298055
Kdelr1,0.089893728,0.108004092,-0.476868156
Jag2,-0.335342996,0.327033182,3.702582024
Epdr1,2.131638874,-2.414045654,0.017102442
Qtrt1,-0.278352972,2.022536659,-0.530659504
Chaf1a,0.474222075,1.192857137,-1.601382926
Pla1a,-0.657784737,2.115376037,1.002312829
Mcm2,0.133025837,1.812857046,-1.577577461
Tpra1,-0.1466461,-0.365882655,0.002259316
Adgre5,0.126866333,-0.367332651,-0.148693636
Il17ra,-0.075289308,-0.790267084,-0.174202108
Kcnn1,-0.057890846,2.843572368,-1.243245169
Ppp1r17,-0.464846901,-0.566388638,2.54793246
Cd36,0.155501394,1.845893205,-2.365424303
Bcam,-0.698744592,-0.518520603,1.246541819
Tomm40,-0.109010658,2.008315679,-0.840254449
Apoe,-0.001567906,-0.788639793,0.178268555
Apoc2,0.153763109,-1.396151056,1.243235801
Prkar2b,0.272886822,-0.059143558,-0.786848796
Cdkn1b,-0.092144549,-0.84836772,-0.01227709
Ap1m1,-0.000109804,-0.393427913,-0.125379768
Efna2,0.692560324,3.20524317,-2.064490499
Slc2a3,0.01973864,0.070100022,-0.677740234
Bcl2l12,-0.163874906,0.866203655,-0.65368188
Mpnd,-0.145109573,-0.298752958,0.052685717
Eif2b5,-0.185517418,1.540042505,-0.605974305
Dlgap1,-0.071783084,1.397663112,0.473897388
Plag1,-0.823591064,-0.302527437,0.332841466
Hck,-0.14789565,-0.941832512,0.195643393
Keap1,-0.012396625,0.414249068,-0.696003592
Ap1m2,-0.251836166,-1.936706217,0.352673255
Atp8b3,1.128337641,5.141594444,-1.168674438
Abhd17a,-0.212527891,0.466321984,-1.056900874
Fkbp11,0.761355558,-0.435197621,-0.064509467
Pld3,0.495248655,-0.792699325,0.11448423
Cd79a,-0.102080067,-0.676824324,-0.225201943
Rabac1,-0.074168071,-0.45103434,-0.416568122
Elavl3,0.079909226,0.336071135,0.999151333
Rab3b,-0.339088026,0.484038077,1.33974816
St8sia6,0.606898624,2.543861458,-1.156081971
Fcgrt,0.122064475,-1.419704309,-0.011436741
Timm50,-0.042871896,1.897882276,-1.064285788
Med29,-0.205711893,1.336276436,-0.782794568
Phyhip,2.324847183,0.733705341,-1.349292412
Crhr2,-0.04572453,0.224321844,5.760067838
Cyp4f18,-0.165638672,-1.902776764,0.437139176
Ier3,0.624275764,1.302370122,0.050851596
Fosb,-0.458245492,-0.526981235,0.408567698
Klc4,-0.185077764,-1.267427823,0.732853098
As3mt,0.156806084,0.651129994,-0.704326964
Homer3,-0.266287625,-0.217225091,2.636038549
Sec14l2,0.782327796,0.474403449,-0.241522757
Aven,0.09275492,1.915223503,-0.464173869
Cp,0.168569254,-0.634801621,0.203053365
Man1a,0.174885173,-0.085649982,-0.397180461
Kif20a,0.397326231,0.687666168,-1.008689475
Gcdh,-0.023342433,0.14254704,3.688860201
Syce2,0.23131963,1.812129983,0.188263281
Nqo1,0.564973345,1.143997615,-0.540136557
Gys1,-0.054390918,-0.310819578,-0.14432171
Ruvbl2,-0.058683154,2.297045238,-1.171496262
Bax,0.08116973,1.231090793,2.177900862
Efnb3,-0.232591751,1.582133761,0.22089965
Fam162a,0.123361706,2.570746161,-0.637898786
Gstm5,1.407953908,-0.239490733,-1.643535166
Cavin1,-0.597917077,-0.654724708,1.070439114
Col5a3,-1.09777468,-3.168964028,0.806176109
Ppan,-0.125910075,2.648312489,-0.658310977
Angptl2,-0.216469842,-1.903329982,1.24452447
Cacna1e,0.230464017,-1.843565867,0.486526952
Cacna1b,-0.205407368,0.155346544,2.196344675
Etv1,0.363711024,-1.287629156,0.664394371
Kifc2,-0.174615863,-1.285849104,0.934210565
Psap,0.341183709,-0.827678706,-0.024673248
Pax2,0.675606981,0.224303412,5.137831156
Phb2,-0.257487996,1.334545767,-0.62143315
Ptpn6,-0.081077423,0.773051938,-1.003981845
Emg1,-0.161113423,1.375225279,-0.807521449
Atp6v1f,-0.198959375,0.54666607,-0.473241343
Hif3a,0.097529533,-0.311874383,0.027700829
Utp20,-0.032247806,2.544393075,0.405102529
Ddx56,-0.216527828,1.929243117,-0.633297835
Bid,0.100213163,1.825903802,-0.971264185
Gab2,0.214145298,-0.540326028,0.217215004
Ctse,0.008985793,-1.675419752,1.283062302
Arhgef18,-0.228868226,-2.345272823,1.47114954
Nkg7,0.319230732,-0.472754521,0.900243054
Slbp,-0.030276691,0.640464131,-0.749930012
Aqp1,2.222377631,-0.350756561,-2.630082991
Cnn2,-0.115712608,-0.984560078,-0.147730222
Abca13,0.801317899,0.241030603,-0.25942788
Hdac9,-0.231150915,-0.247816123,-0.03054731
Adgre1,0.44321735,-0.201526546,-0.507858851
Mtfp1,0.233192458,2.858527147,-1.438509803
Pgf,-0.207849089,-0.429391858,3.69647283
Ulk2,-0.03736051,-0.396238119,0.129468327
Ccl24,0.649140604,-0.592431648,0.282624745
Grap,-0.13254908,1.661162559,-0.267858957
Pou1f1,-0.101785732,-0.166284468,3.447962428
Ap1s1,0.165991658,-0.177430396,-0.318495747
Lbr,-0.203965348,-0.078382807,-0.126060404
Nes,-0.437595475,0.310216455,1.77892059
Hdgf,0.098873617,2.622177939,-1.181137348
Thop1,-0.018406904,3.204806833,-1.422788275
Matk,-0.254663009,-0.617892871,0.304022753
Map2k1,-0.086651012,0.375326255,-0.512307409
Hspb1,-0.204378768,1.834959815,-0.158013202
Fxyd4,0.051566481,1.812200362,-0.154919351
Prkacb,-0.07893041,-0.257913362,-0.410911571
Sgsh,-0.062090215,-1.373062416,0.464660206
Wdr1,-0.145118632,0.031304521,-0.17323876
Slc2a9,-0.144565506,-1.57823655,4.045321766
Ndrg1,-0.233117138,-1.63168358,0.991749173
4930550C14Rik,1.000905349,1.623939611,0.853577969
Prdx2,-0.109276542,0.601630781,-0.661758169
Corin,-0.22156151,-0.118026762,0.012028267
Spc25,0.333448103,0.941868061,2.330219998
Dnah2,0.072448968,-0.370257409,1.780830198
Fgfr4,-0.801655586,1.013595274,0.597528647
Crbn,-0.184577225,-0.023093281,-0.205787471
Il5ra,-0.323234428,-1.415154227,0.678311101
Msh6,0.025632738,1.130607967,1.235270732
Tbl2,-0.017003237,1.188584802,-1.017396536
Nid1,0.328625032,-0.251866794,-0.636486334
Mcm5,0.117803756,1.955780897,-1.557309426
Hmox1,0.973056438,-0.590097688,0.856023744
Pafah1b3,-0.380538868,-1.743174543,0.819347445
Il27ra,-0.051305729,-0.443830479,-0.090798277
Prkaca,0.01171592,-0.080388345,-0.140969417
Asf1b,0.343562419,1.124196219,-1.591835798
Ddx39a,-0.124808773,1.483700537,-0.840919149
Dnajb1,-0.037811247,1.41348365,-1.3343357
Ndufs3,-0.113865485,1.236317968,-0.839740622
Insr,-0.178689376,-1.668563108,0.710608858
Fcer2a,-0.210904204,1.5119411,-0.283472153
Trim28,-0.160982001,1.762371265,-0.87697038
Adcy9,0.347736568,-0.873774255,-0.173419368
Mef2c,-0.221144846,-0.30310078,-0.346320208
Eif4g2,0.123382873,0.67597058,-1.078398926
Irag1,-0.033255272,-0.893035773,0.436991426
Pcyt1a,0.092279312,-0.55008048,-0.381161295
Zfp592,-0.113463662,-0.328931492,0.05465609
Insrr,-0.097450574,-0.476538517,2.192116909
Snx6,-0.043022683,0.785648734,-0.769439647
Mthfd2,0.093570265,2.603451734,-2.010155249
Tomm40l,-0.227629521,1.252808228,-0.432932867
Ampd3,-0.009822667,-1.199713002,0.444447852
Pard6a,-0.044341409,0.270135113,-0.584096077
Tfap4,0.146100835,2.911999877,-1.053082206
Ranbp1,0.117125765,3.047236154,-1.173988396
Psmb4,-0.217159326,1.297716371,-0.719715513
Mmp8,2.189876296,1.662482224,-0.202054216
Slc30a4,-0.244929332,0.638505088,-0.761209974
Sqor,0.365843498,-0.449463634,0.278987029
Gata6,-0.707339273,-0.302899819,1.132908206
Rsl1d1,-0.071990034,2.269058641,-1.15425675
Reep5,0.00482261,-1.275989063,0.200710133
Spo11,0.051314139,-1.464285255,1.105843806
Ctns,-0.174533511,-0.699550495,0.290700318
P2rx5,0.261292673,1.903109827,-0.820702084
Trpv1,0.675564732,3.680365554,1.56885947
Tuft1,-0.150276707,1.563181805,0.158087996
Rcn1,0.060334717,2.280448627,-1.190656706
Trap1,0.023047824,1.658641089,-0.43092591
Atp5g1,-0.057378267,2.053466857,-0.898812052
Inpp5k,-0.622402199,-1.142656442,0.496029413
Eps8l1,0.050626858,-1.930124137,1.780846392
Prss16,0.072324086,0.488044116,-0.80954287
Epor,1.003721308,-0.129133881,-0.995777583
Ccdc159,0.044466342,0.535654656,2.848124497
Ttc5,-0.293940332,0.151385394,-0.145168525
Upk1a,-0.181237223,2.31683922,-0.612610765
Tmem147,-0.177319053,1.38714484,-0.45990582
Ggt5,0.343361737,-0.994565547,0.840946641
Ggt1,0.068849606,-2.044804917,2.149023685
Crip2,0.30598158,-1.404797816,2.705344243
Crip1,-0.228008536,-1.751709126,-0.365748743
Gcat,-0.219360269,1.664217382,-1.214617124
Tek,-0.450673315,0.780169396,0.745016515
Mpl,-0.234053323,-1.016559906,0.749526744
Nectin4,0.220217431,0.268451511,1.978730965
Neurl1a,-0.356065912,-1.187490081,1.034653979
Srm,0.201588044,2.816080827,-0.841790384
Epha2,-0.217973909,-0.053086652,4.863626409
Nsmf,-0.172685626,-0.58015315,0.142845205
Pdk1,-0.114658664,-0.17578541,-0.447806814
Mvd,-0.109040297,1.529815508,-1.111226201
Cryba2,0.11097325,0.487091252,0.725591425
Atp7b,0.903522218,2.033849439,-1.1939803
Slc4a1,-0.470697771,-1.100920689,-1.281564539
Slc4a3,-0.456540706,-1.450329254,-0.268027101
Snai3,-0.506381144,0.719822749,4.61764124
Aprt,0.034738267,2.390576732,0.613616159
Gtf2h1,-0.170134908,1.490619302,-0.695769362
Slc5a6,-0.117949966,1.909272452,-0.135994544
Pknox1,-0.183405737,1.307532469,-0.94932375
Gmnn,0.33820935,1.004635911,-1.50464282
Cyp27b1,-0.084785892,3.099423499,-0.703644624
Cdk4,-0.04762704,2.016158387,-1.285057687
Mettl1,-0.030499187,2.801111131,-0.624832226
Tspan31,0.230487885,-0.153546782,-0.219858204
Cnp,-0.135548376,-0.448343385,-0.175130733
Sulf2,-0.109360365,-0.611121405,3.534708544
Sod2,0.007460268,1.309311167,-1.040802883
Stambp,0.166660055,-0.696154364,0.724143622
Hap1,0.239656486,-0.365928233,-0.050040074
Hspa1l,0.065827971,1.604690954,-0.453225824
Msh5,-0.336993209,-0.883519712,0.647468565
Neu1,-0.14306528,0.225138687,-0.545918958
Ddah2,-0.505412264,-0.758287025,0.460979225
Atp1a4,0.450776625,3.396129134,1.243894585
Casq1,0.27777528,2.12926655,0.085519667
Dennd2c,-0.113090915,-0.242723132,4.621530175
Gatad1,-0.083610664,0.064158075,-0.705999129
M6pr,0.005035344,1.357459337,-0.913897441
Tgfbr1,-0.060352977,0.122871959,-0.511055716
Gabrb2,-0.929668507,-0.76771023,2.549439206
Cav1,-0.699707344,-0.594116523,-0.194595323
Arpp19,-0.126761342,1.025813719,-0.712934095
Bcl2l1,-0.644452433,0.321123177,1.14240083
Ccdc124,0.178287195,2.018176013,-0.649125594
Cct4,0.02930551,1.702576759,-0.875898151
0610009B22Rik,0.119586263,1.028833809,-0.718509427
Cpt1c,-0.913179147,0.939201223,4.075896323
Zmiz1,0.004899762,-1.432054275,0.906142752
Ift43,1.362746642,-0.198564728,-0.555707899
Id3,-0.8491108,-1.172182862,0.176534607
Ctsd,0.765729396,-0.430835475,0.163008519
Hmgcll1,-0.592094732,-1.606428948,4.382245196
Abhd8,0.008690579,0.266926671,-0.258576508
Ift22,-0.334972892,-0.519927036,-0.40978728
Ap2s1,-0.077678527,0.532756327,-0.59644278
Brme1,-0.406742632,1.548747464,-0.261982859
Fbxw9,-0.119167306,-0.00657196,2.45176233
Cers4,0.023524841,-0.570046298,2.350066871
Snrpb2,-0.048755239,1.361230002,-0.916125257
Prpf31,-0.133222197,1.818394894,-0.633277726
Sertad1,-0.00272656,0.530180141,-0.606121593
Carhsp1,-0.120639578,-0.125170735,2.864401295
Elk3,-0.06304348,-0.235713061,-0.455445446
Nutf2,0.004997022,2.17111752,-0.928383686
Arpc5,-0.173202572,-0.151669521,-0.108788481
Rnf151,-0.154949306,1.275981549,-0.13187003
Mgst1,0.423314325,-1.516420497,0.90931429
Ubqln4,-0.083715786,1.683509101,-0.056052063
Cldn13,3.145904351,0.329534768,-3.127348171
Cd163,0.691835489,-0.223640747,0.25051186
Hdac5,-0.231918174,-0.796371175,0.348120852
Dynll1,-0.021760417,1.453871398,-1.056588786
Ap1b1,0.000466318,-0.028734207,-0.206725643
Gnat2,0.670548379,3.388907332,-0.976670447
Prr29,-0.293443361,-0.153500216,-0.134505632
Trpm5,-0.01648601,1.798440642,0.535122068
Trpm2,0.710328345,-0.070940434,1.104147382
Mpo,0.073302251,-0.782048073,1.104875078
Met,-0.36815101,-0.312446098,0.453986106
Syn2,-0.082641122,-0.465667074,-0.007668846
Nav1,0.21559605,-0.303894472,0.029714774
6330409D20Rik,0.241672378,-0.998071527,0.91768824
Fpgs,0.133687212,2.279242269,-0.731610287
Cbx5,0.10816492,1.627289854,-1.165535292
Tex15,0.472170626,4.173727886,3.845269547
Ppp2cb,-0.085209653,0.501285017,-0.540225323
Oit3,-0.518692732,-1.284795545,0.926018958
Fxyd5,0.42595936,-0.737107915,0.60992465
Kcnd1,0.505492625,1.756652691,0.012863733
Pou6f2,-0.25258813,-0.153509943,1.469475692
Pou6f1,0.251105827,-1.9510953,0.73078553
Sdhb,-0.115864745,0.924600848,-0.6883469
Nxf2,-0.626617607,1.137969287,0.982424038
Kif19a,0.06579459,-1.956862778,0.809091548
Aldh3a2,0.031241522,0.072155954,-0.364387752
Hyal2,-0.012947363,1.591534633,-0.352852308
Ifrd2,-0.042922688,2.835570326,-1.053580444
Pifo,-0.171245832,-1.730868468,0.012703459
Tnfrsf13b,-0.12840822,-0.56766582,-0.788536236
Prox1,-0.143116945,-0.468416959,0.657486909
Tmem86a,0.438559001,-0.730525352,0.544968074
Myt1,0.163207556,2.616997411,0.412343077
Tsacc,-0.051677189,1.380540214,0.110959191
Mettl16,-0.055268666,1.691926828,-0.682209246
Psen2,-0.059976365,-0.309059199,-0.297762185
Fads1,0.739129107,0.908539199,-1.465015636
Lmbr1,0.014787607,-0.468332804,0.168236826
Cars,0.010721096,1.851804309,-0.595466963
Kdelr3,-0.219121214,-0.062353497,0.08307438
Apip,-0.014406723,0.130330466,-0.470670637
Mcoln2,0.06706506,-0.906407731,-0.867308548
Slc5a1,0.6756043,0.224296725,6.40361113
Tbrg1,-0.019578389,0.618161576,-0.822602198
Adssl1,0.073237795,-0.932530609,0.394277549
Cfap161,1.063059809,3.472116352,-1.176981139
Odc1,0.193701439,2.877498848,-0.403922559
Pabpc4,0.17603668,2.029895649,-0.471524943
Exoc3l2,-0.25918124,-1.233547192,1.772375163
Slc25a41,-0.714630661,0.860887294,1.876005634
Pinlyp,-0.35370886,-1.926940268,4.505069801
Pgam1,0.031140182,1.885885102,-1.029548667
Evi5,-0.034086498,-0.411643231,-0.166317552
Evi5l,-0.127775052,-1.29667237,0.588829244
Scarf2,-0.413214543,0.233606556,3.662941151
Mogat1,0.753725483,-0.458102423,-1.423034187
Tmem167,-0.124499871,1.017322905,-0.770502892
Steap4,-0.131306664,-1.120681875,0.375524428
Kif11,0.602882196,0.56354512,-1.562640252
Rpa3,-0.188878457,0.757526702,-0.887207703
Mlkl,0.168880182,-0.684772527,0.532779837
Acp4,0.075258141,2.82613147,-1.28232232
Etv5,0.134270834,-0.848596114,1.423063123
Tmem190,0.009375321,2.227560451,-1.380965421
Enkd1,-0.402962822,0.345613326,-0.854871969
Atp6v0d1,0.051612093,-0.530823558,0.29836031
Ptprs,-0.491470133,1.683729399,0.054060529
Fer1l4,0.986139131,0.887012443,1.341668478
4931406B18Rik,0.039653524,-0.277079744,1.836197678
Zfp651,0.248393865,1.070636302,1.874544397
Card14,-0.191464308,-1.437822782,0.357974651
Snx31,0.596135581,-0.829388805,-0.162363989
Cad,0.127380356,2.214531438,1.488003028
Atad1,0.002964082,1.390562167,-1.056223806
Timm23,0.531911884,1.786267317,-1.322324893
Tnfaip8l2,-0.278707125,-0.857379406,-0.28595032
Trnt1,-0.162713122,1.06540028,-1.039802909
Elof1,-0.231259833,0.463017559,-0.477972141
St3gal1,-0.103964991,-1.013302893,-0.288788336
Mcemp1,-0.090138022,1.341745069,0.264377586
Dynlt2b,0.127324837,-0.180166872,-0.572466148
Chp1,-0.179688623,-0.619874327,0.125952493
Cacybp,0.095871166,2.509935186,-1.965873958
Ndufa2,-0.147814343,0.689095877,-0.434717708
Pam16,-0.106852094,1.483832193,-0.01965303
Mertk,0.354877121,-0.716264747,0.361941357
Piezo1,0.081893051,1.260293661,0.813942281
Blk,-0.101297313,-0.99734688,-0.177081026
Rnf166,-0.022425292,0.641820459,-0.744358172
Pkd2l2,0.011456112,-0.452664966,-0.038081785
Klra17,-0.933196619,0.317274154,-0.803994615
Wdfy2,0.245409266,-0.593109093,0.259354982
Csf1,-0.14748482,0.918704034,2.140194736
Kif1a,1.338859652,0.219212284,0.294845667
Slc25a11,-0.11171494,0.437926439,-0.524970212
Ceacam16,-0.427963297,-1.288851612,0.818330604
Ankrd53,0.025715454,0.960324919,-0.742391591
Pdcd2,-0.001232867,1.234431157,-0.911790386
Nol3,-0.262049653,-1.1852552,1.089620961
Slc9a5,-0.093415704,-0.176898785,-0.186299734
Adamts13,0.414340465,-0.681797292,0.571040094
Surf4,-0.027016705,0.810325877,-0.814951153
Surf2,-0.022464632,1.989941935,-0.779845573
Naf1,0.050744734,2.060791171,-1.463028683
Ppp1cb,-0.165302704,0.230793579,-0.383074975
Trappc2l,-0.03320246,0.318681913,-0.565568206
Galns,-0.141092184,-0.632137101,-0.336438359
Gata2,-0.707484725,-0.627875309,1.078140582
Clic3,-0.337442474,0.000693136,-0.497998497
Slc25a13,-0.288252036,1.535947921,-0.439792618
Tsr3,-0.076081352,1.574587311,-0.670858895
Actn1,0.398116327,-0.939339151,0.599222166
Nolc1,0.074802456,2.893031501,-1.134729019
Map2,-0.141116444,-1.808453081,0.669111858
Abca1,0.119624539,-1.185082031,0.306592868
Nipsnap3b,-0.04882976,0.287640826,-0.629118485
Ubl4a,-0.163376588,1.193584472,-0.836776199
Gdi1,-0.044802278,-0.530072133,0.200353295
Sash1,0.206914989,-0.665229307,0.205186792
Slamf6,-0.12301482,-0.338683069,-0.138093465
Slamf1,-0.238273404,0.095961601,-1.004561095
Cybb,0.227363339,0.379969849,-0.956446999
Xk,0.162543044,0.27423434,-0.972136719
Pcolce2,0.274610594,-0.621147714,-0.011603864
Cd48,-0.082705936,0.378547963,-0.666123168
Cd83,-0.042222984,2.189493726,-0.455824548
Notch4,-0.32610923,-0.517527179,0.22624107
Ppt2,0.341653556,-0.4790972,0.081488563
