,null_mock_1,null_mock_2,null_IR_1,null_IR_2,wt_IR_1,wt_IR_2,wt_IR_3,wt_IR_4,wt_mock_1,wt_mock_2,wt_mock_3,wt_mock_4
  XPO5,2485,2370,5797,5742,2104,1640,2702,2823,3077,2562,2026,2304
  XPO6,9340,8165,8218,9481,5526,4597,6327,6473,9020,8848,6147,9415
  XPO7,4133,3921,4987,6170,2662,2238,3221,3382,5174,4301,2962,4261
  XPOT,2224,2046,6162,6720,2691,1906,3224,3483,3042,2348,1811,2128
  XPR1,4474,3925,2398,2792,2528,1646,2707,3025,4693,4305,3259,4374
  XRCC1,1853,1837,2727,2553,1541,1030,1781,2052,2556,1921,1590,1896
  XRCC2,424,405,645,611,216,196,345,392,580,453,351,455
  XRCC3,693,530,418,626,616,496,426,422,634,691,464,779
  XRCC4,1308,1092,1070,1370,953,890,1060,1050,1411,1180,967,1240
  XRCC5,1312,1143,3233,4190,1444,1114,1903,2148,1744,1385,1170,1137
  XRCC6,1533,1451,3742,4038,1541,1090,2042,2285,1823,1298,1104,1376
  XRCC6BP1,166,170,485,505,243,144,282,368,211,154,120,153
  XRN1,6290,5703,4369,5731,3972,3038,4057,4123,6794,6141,4657,6857
  XRN2,10054,10146,12958,15829,7646,6056,9462,10214,11459,9063,7302,8716
  XRRA1,33,26,39,36,103,93,140,122,40,41,29,36
  XXYLT1,623,540,1224,1150,502,312,742,870,664,631,481,685
  XYLB,42,43,37,49,44,36,30,37,65,45,38,46
  XYLT1,3846,3329,931,1162,950,831,743,935,3391,3540,2098,3909
  XYLT2,703,532,665,822,469,364,528,605,686,675,440,623
  YAE1D1,714,652,2104,1866,570,479,821,788,877,732,648,621
  YAF2,485,442,642,632,196,132,217,222,575,432,359,417
  YAP1,512,381,349,417,428,372,339,295,482,425,307,574
  YARS,1965,1774,4529,4818,1755,1397,1876,2036,2406,1997,1440,1927
  YARS2,572,549,1492,1331,425,295,633,630,749,552,414,547
  YBEY,630,541,755,1025,649,539,662,749,708,635,391,670
  YBX1,8562,8355,30054,30019,18120,11179,14676,18999,14772,9062,8311,7841
  YBX1-PS2,8,3,27,12,15,5,4,10,4,8,6,5
  YBX2,2,1,3,4,6,10,1,5,6,2,0,4
  YBX3,1121,1312,6060,6098,1962,1344,2220,2475,1912,1197,1070,1165
  YDJC,320,267,874,1035,357,268,423,443,349,289,225,322
  YEATS2,1917,1620,2947,3327,3363,2424,4999,5112,2106,1723,1320,1719
  YEATS4,1520,1567,1677,2057,1294,855,1435,1631,2014,1411,1174,1519
  YES1,329,320,240,347,236,224,240,215,284,322,244,309
  YIF1A,591,565,1023,1051,661,409,876,1098,685,531,456,508
  YIF1B,407,396,779,834,300,214,418,534,585,406,346,329
  YIPF1,1811,1586,1193,1415,833,620,961,1016,1953,1775,1336,1895
  YIPF2,938,827,659,873,665,489,883,1036,1121,953,718,758
  YIPF3,775,775,870,1219,998,725,1029,1120,1114,956,658,1086
  YIPF4,1147,1211,904,821,386,270,595,527,1326,975,814,1079
  YIPF5,928,895,958,1257,677,489,651,866,1283,912,765,856
  YIPF6,1691,1527,1923,2250,1008,798,1143,1348,1894,1732,1355,1440
  YIPF7,0,2,0,1,1,2,0,0,3,1,1,2
  YJEFN3,7,7,49,34,21,17,36,29,16,13,8,16
  YKT6,1865,1899,2794,3235,1284,901,1635,1861,2215,1753,1465,1938
  YLPM1,5297,4786,4506,6275,5046,3724,4525,5065,5584,5377,4093,6094
  YME1L1,7548,6738,10933,10185,3450,2397,5431,5369,9012,7409,6219,6148
  YOD1,1675,1664,1424,2011,948,748,1065,1093,1762,1622,1111,1704
  YPEL1,679,541,645,691,414,379,424,417,669,650,422,686
  YPEL2,384,450,135,104,251,186,233,235,548,439,401,537
  YPEL3,2403,2306,288,449,928,596,1194,1551,2378,2155,1481,2081
  YPEL4,4,7,6,11,16,16,5,10,110,86,12,6
  YPEL5,1594,1972,569,791,444,295,602,595,1952,1541,1365,1649
