sample,hesc_cyto_rep1,hesc_cyto_rep2,hesc_monosome_rep1,hesc_monosome_rep2,hesc_nuc_rep1,hesc_nuc_rep2,hesc_poly_high_rep1,hesc_poly_high_rep2,hesc_poly_low_rep1,hesc_poly_low_rep2,neu14_cyto_rep1,neu14_cyto_rep2,neu14_mono_rep1,neu14_mono_rep2,neu14_nuc_rep1,neu14_nuc_rep2,neu14_poly_high_rep1,neu14_poly_high_rep2,neu14_poly_low_rep1,neu14_poly_low_rep2,neu50_cyto_rep1,neu50_cyto_rep2,neu50_mono_rep1,neu50_mono_rep2,neu50_nuc_rep1,neu50_nuc_rep2,neu50_poly_high_rep1,neu50_poly_high_rep2,neu50_poly_low_rep1,neu50_poly_low_rep2,npc_cyto_rep1,npc_cyto_rep2,npc_mono_rep1,npc_mono_rep2,npc_nuc_rep1,npc_nuc_rep2,npc_poly_high_rep1,npc_poly_high_rep2,npc_poly_low_rep1,npc_poly_low_rep2
cell,hesc,hesc,hesc,hesc,hesc,hesc,hesc,hesc,hesc,hesc,neu14,neu14,neu14,neu14,neu14,neu14,neu14,neu14,neu14,neu14,neu50,neu50,neu50,neu50,neu50,neu50,neu50,neu50,neu50,neu50,npc,npc,npc,npc,npc,npc,npc,npc,npc,npc
RNA,cyto,cyto,monosome,monosome,nuc,nuc,polyhigh,polyhigh,polylow,polylow,cyto,cyto,mono,mono,nuc,nuc,polyhigh,polyhigh,polylow,polylow,cyto,cyto,mono,mono,nuc,nuc,polyhigh,polyhigh,polylow,polylow,cyto,cyto,mono,mono,nuc,nuc,polyhigh,polyhigh,polylow,polylow
