User_ID sorted by SD,p53_mock_1,p53_mock_2,p53_mock_3,p53_mock_4,p53_IR_1,p53_IR_2,p53_IR_3,p53_IR_4,null_mock_1,null_mock_2,null_IR_1,null_IR_2
 ENSMUSG00000034673,10.1363,10.0799,10.0821,10.3311,9.9591,9.7675,10.0624,10.3287,10.2893,10.1749,10.8647,10.3737
 ENSMUSG00000021669,11.1567,11.2586,11.2688,11.5259,10.9044,11.0327,11.6106,11.4019,11.6296,11.5691,11.8366,11.4468
 ENSMUSG00000023020,8.9296,8.9743,9.0337,9.0583,8.5224,8.3941,9.0175,9.2062,9.1119,9.2266,9.2704,9.1569
 ENSMUSG00000024247,5.5506,5.9964,5.9102,5.5613,5.7273,5.7498,5.6686,5.0811,5.7876,5.6154,5.1847,5.8194
 ENSMUSG00000038816,8.0937,7.9545,7.9849,8.1892,7.4013,7.6451,7.7507,7.3333,7.9291,8.0848,7.8322,7.67
 ENSMUSG00000038502,8.4461,8.5393,8.4355,8.7948,8.2188,8.0779,8.3484,8.1928,8.6059,8.8144,8.9762,8.4788
 ENSMUSG00000055963,5.0351,4.7082,4.8485,5.0238,4.8002,4.3101,4.7362,4.203,4.6121,4.3368,4.8032,4.7943
 ENSMUSG00000108699,7.7995,8.2546,8.143,8.2457,7.6531,7.6176,7.6166,7.7037,8.2157,7.9171,8.2383,8.1554
 ENSMUSG00000079076,5.7409,5.6335,5.4972,5.8644,5.8349,4.9209,5.921,5.8119,5.7025,5.879,5.5894,5.7543
 ENSMUSG00000042901,11.4602,11.4624,11.4003,11.5711,10.9944,10.9316,11.1411,11.1871,11.4849,11.6914,11.0682,10.8915
 ENSMUSG00000067370,8.1208,7.8273,8.0818,8.0099,7.7731,7.6722,7.931,7.9907,8.094,8.2723,8.6438,8.3765
 ENSMUSG00000044496,10.7269,10.6457,10.7367,10.6409,10.3721,10.2983,10.7237,10.8234,10.6855,10.8508,11.3966,10.7528
 ENSMUSG00000086598,6.534,6.7282,6.5947,6.9304,6.5075,6.1898,6.2698,6.2635,6.782,7.0736,6.7087,6.5841
 ENSMUSG00000044328,7.0327,7.1554,7.0117,7.3546,6.9305,6.8677,6.9678,7.1115,7.2922,7.2252,6.6605,6.4004
 ENSMUSG00000035337,8.1374,8.604,8.6044,8.919,8.1455,8.3106,8.2089,8.2543,8.6869,8.4454,8.0833,8.143
 ENSMUSG00000022791,10.8707,11.0126,10.8403,11.3899,10.4938,10.462,10.692,10.804,11.0858,11.0558,11.168,10.8896
 ENSMUSG00000022564,10.1609,9.9905,10.021,10.0469,9.7526,9.7133,9.9254,9.8818,9.795,10.073,9.2381,9.46
 ENSMUSG00000046974,6.0716,6.3957,6.2285,6.7179,6.1433,5.987,6.7647,5.9987,6.3566,6.6242,6.1792,6.2372
 ENSMUSG00000025040,9.8325,9.5978,9.883,9.4432,9.1857,8.9355,9.3755,9.5724,9.5736,9.5585,9.7292,9.3401
 ENSMUSG00000055128,8.4726,8.4717,8.4517,8.3814,7.9558,8.2036,8.0322,7.9615,8.514,8.6032,7.9366,7.8941
 ENSMUSG00000032434,11.6599,11.67,11.7014,12.0291,11.3557,11.2431,11.8759,11.8966,11.8959,11.9638,12.1807,11.8106
 ENSMUSG00000076530,4.7691,4.7082,4.8485,4.2295,4.2344,4.1352,4.6531,4.075,4.7093,4.6522,4.4346,4.4223
 ENSMUSG00000083849,7.4719,7.9087,7.723,7.7888,7.0958,7.2195,7.2529,7.1766,7.7005,7.6971,7.5368,7.4389
 ENSMUSG00000034724,12.4478,12.5482,12.6129,12.8729,12.1543,12.2604,12.4741,12.3714,12.8312,12.9677,12.9424,12.5126
 ENSMUSG00000024953,10.2974,9.9549,10.2524,10.2036,10.055,9.8228,10.2884,10.393,10.242,10.4442,10.8072,10.5917
 ENSMUSG00000031983,7.6168,7.6098,7.3688,7.7049,7.4013,7.3921,7.3285,7.1248,7.5592,7.6285,8.1192,7.8941
 ENSMUSG00000051650,11.2556,11.209,11.0967,11.0898,10.7113,10.6536,10.5244,10.569,11.0713,11.2258,11.0697,10.845
 ENSMUSG00000080783,6.5739,6.4222,6.565,6.6232,6.3491,6.4945,5.9855,6.5862,6.7405,6.3864,6.0088,5.9602
 ENSMUSG00000024556,10.8855,10.7323,10.902,10.8168,10.5348,10.4247,10.8052,10.7193,10.7661,10.8966,11.4622,11.1385
 ENSMUSG00000028701,9.1106,9.1577,9.0065,8.9938,8.6579,8.7,8.4248,8.9775,8.7192,8.7775,9.249,9.2997
 ENSMUSG00000063659,12.1217,12.2086,12.1384,12.3842,11.8726,11.9217,12.1703,12.3631,12.2816,12.3696,12.9207,12.2853
 ENSMUSG00000018169,10.2577,10.4551,10.2605,10.6536,9.9157,10.0222,10.0382,9.9888,10.56,10.521,10.6463,10.3369
 ENSMUSG00000063410,11.9525,11.979,11.7776,11.9833,11.4242,11.3957,11.5561,11.693,12.026,12.1161,11.6881,11.3703
 ENSMUSG00000026278,4.6527,4.5052,4.618,4.3033,4.4554,4.3101,4.4672,4.5137,4.9232,4.8076,5.0348,5.0796
 ENSMUSG00000030541,9.6241,9.3325,9.6729,9.5056,9.5273,9.0168,9.5872,9.7148,9.5319,9.717,10.0599,9.9212
 ENSMUSG00000007038,10.5174,10.552,10.5779,10.547,10.2117,10.1429,10.3072,10.2555,10.582,10.7915,11.0536,10.7609
