genes,WTvsMu_lfc,WTvsMu_FDR,IRvsMock_lfc,IRvsMock_FDR,Interaction_lfc,Interaction_FDR
Pigp,0.003805231,0.999574161,-0.204125256,0.680247113,-0.366211736,0.556385377
Dop1b,-0.052497113,0.999574161,-1.199494117,7.6056E-07,0.764158787,0.027113469
Cbr3,0.29320886,0.999574161,-0.995923939,0.25667843,0.628288909,0.644185921
Runx1,-0.111232754,0.999574161,-1.564180626,4.55971E-16,1.083716391,2.70827E-05
Atp5o,-0.076921383,0.999574161,1.615530269,1.49824E-09,-0.797281483,0.04176206
Gart,-0.001903506,0.999574161,2.413773045,5.25367E-22,-0.343536614,0.439013452
Tmem50b,-0.029031665,0.999574161,-0.349991906,0.205499852,-1.100150523,0.000558081
Cfap298,0.028655594,0.999574161,2.126074202,3.26401E-17,-1.514148551,9.39385E-06
Mis18a,-0.126688005,0.999574161,0.056119204,0.927851527,-0.172855519,0.798888914
Wnt10b,-0.951714562,0.67611048,3.546170623,4.02216E-14,0.456866617,0.616638351
Dhh,0.252328192,0.999574161,1.101916626,0.419323789,3.405850761,0.018643862
Tuba1b,0.254065194,0.999574161,1.681828065,6.67522E-07,-1.520312666,0.000897404
Tmbim6,0.055311448,0.999574161,-0.100293628,0.701470623,-0.256601835,0.398875262
Faim2,-0.34666513,0.999574161,-1.819995315,0.035219303,1.878612079,0.110939701
Racgap1,0.038502553,0.999574161,-0.065625844,0.833907543,-0.304646844,0.349793986
Gpd1,0.609494126,0.809408331,-0.678093768,0.123915803,-0.019182831,0.983124776
Cox14,-0.175553094,0.999574161,0.045180513,0.930786514,-0.222313947,0.682499842
Lima1,0.729330358,0.572809752,0.021923103,0.97752853,-0.037485719,0.965239617
Larp4,-0.058222649,0.999574161,1.408804744,4.36304E-09,-1.143120184,0.000454977
Cela1,0.25108852,0.999574161,-1.693975827,0.002387816,0.97838894,0.248736273
Nr4a1,0.092750601,0.999574161,1.050097646,0.037185296,0.998351083,0.1571184
Csad,-0.080027087,0.999574161,-0.664022402,0.040106801,0.400463988,0.428878899
Amhr2,0.294102251,0.999574161,2.090215638,0.004270714,0.034944788,0.982990206
Calcoco1,-0.187053688,0.999574161,-1.234953069,3.4458E-08,1.415220662,9.54327E-07
Cdkn1a,0.832144373,0.735652091,0.380935999,0.574613176,7.551267459,2.7583E-43
Cep89,-0.28517033,0.999574161,-1.294052422,1.13593E-07,0.569399106,0.124810673
Mospd1,-0.153607887,0.999574161,-0.229316927,0.497717366,-0.287599843,0.538328276
Cxcl13,0.320766569,0.999574161,0.142047824,0.935672906,1.314580343,0.39783839
Gtf2ird1,0.101085252,0.999574161,-0.990074075,0.000454449,1.146204083,0.00214493
H2-M10.2,0.063633858,0.999574161,2.017102931,0.004872201,-1.095882013,0.338232292
Ndufa5,0.086516793,0.999574161,1.853652118,1.84623E-10,-0.928587221,0.027964362
Msrb2,0.007500008,0.999574161,-0.483022271,0.153074612,0.044188656,0.947754019
Rfc2,-0.087018717,0.999574161,0.10699698,0.745800746,-0.318488417,0.392889584
Prmt5,-0.034253249,0.999574161,2.271113377,3.64588E-47,-1.036005811,8.4693E-07
Gzma,0.513319687,0.999574161,0.020289181,0.979838575,-0.197683408,0.852227007
Get1,-0.129230904,0.999574161,0.661057884,0.019298374,-0.759550103,0.049232787
Lrrc69,0.682329756,0.999574161,2.414676905,0.032927719,-1.211326485,0.509333085
Rpp14,-0.102497768,0.999574161,1.780079668,2.41521E-19,-1.055299164,9.60865E-05
Slc38a1,-0.057564527,0.999574161,-0.00133581,0.995815951,-0.440542655,0.067192625
Vwa5a,0.201741202,0.999574161,-0.317007187,0.184410077,-0.026752366,0.95324521
Epb42,-0.087818102,0.999574161,-0.505499104,0.426869841,-0.102242841,0.922962434
Kcnk5,0.245235548,0.999574161,-0.047059069,0.923655217,-1.156726872,0.001851565
Parp3,-0.086800436,0.999574161,0.75449225,0.042233284,-1.090995463,0.023461618
Acy1,-0.253862105,0.999574161,2.104483042,3.89026E-13,-0.422480708,0.399036646
Gabrr2,-0.269354348,0.999574161,2.503489207,0.000143383,-0.056329639,0.969803779
Creld2,0.631007986,0.747306229,1.229683609,0.00137413,-1.146800613,0.030422643
Twf2,0.037140778,0.999574161,0.059197638,0.890986541,-0.718314532,0.049712784
Dtwd1,-0.073485033,0.999574161,1.521601308,3.7383E-06,-0.838843946,0.087326046
Gcm1,0.20519176,0.999574161,-0.10552758,0.936870573,2.209026082,0.027975231
Clec4n,0.718751943,0.883797316,0.383743877,0.548898637,0.25615674,0.786588867
Tmem176a,0.045923772,0.999574161,-0.246866023,0.654752833,0.096279432,0.906819568
Slc17a9,-0.192822535,0.999574161,0.052924968,0.888695692,-0.399659515,0.263985841
Cela3b,0.593784099,0.999574161,0.953428899,0.658615557,0.967231301,0.743542188
Tpi1,-0.025109715,0.999574161,1.848042511,3.6264E-10,-1.48700285,0.000188029
Cdca3,0.685132853,0.831375602,0.307123082,0.607858779,-0.881954132,0.189076653
Ccndbp1,-0.284729571,0.999574161,-0.523763742,0.03321241,0.396676348,0.276553182
Rsph3b,0.13369106,0.999574161,-0.441461401,0.158724333,-0.045368106,0.939519098
Slc22a3,0.725575162,0.999574161,-0.203263768,0.919704797,-1.014108199,0.63401528
Acat2,-0.239646535,0.999574161,0.949077037,0.002305066,-0.511983647,0.293641418
1700010I14Rik,-0.284726173,0.999574161,-0.728551302,0.026615241,0.43833677,0.396512273
Phf10,-0.166158897,0.999574161,1.114970674,1.12437E-07,-0.726992028,0.014775164
Smoc2,-0.369648352,0.999574161,0.215955134,0.872015612,0.503993854,0.753741718
Zscan10,0.8018723,0.999574161,-1.752408483,0.512875792,4.127957842,NA
Paqr4,0.288892063,0.999574161,0.448812338,0.308079479,-1.081479774,0.041501614
Pla2g7,0.413711151,0.999574161,-0.807243489,0.110757366,0.889365626,0.202317237
Rhag,0.525789867,0.980490136,-0.118794793,0.853561672,-0.309927635,0.684556168
Mrpl14,-0.081000355,0.999574161,1.478932261,0.000418443,-0.60619991,0.376341399
Sgo1,0.25954603,0.999574161,0.485978591,0.342598966,-1.117632161,0.069091425
Slc29a1,0.212769226,0.999574161,2.287402902,2.5612E-17,-1.596510436,1.03917E-05
Hsp90ab1,0.1335926,0.999574161,2.300364625,6.13136E-16,-1.125388334,0.005403621
Tcte1,-0.436872267,0.999574161,-0.609565717,0.661428629,1.326923713,0.425696128
Vegfa,-0.621320017,0.999574161,1.092222569,0.051170105,0.558278772,0.542540047
Gtpbp2,-0.106888074,0.999574161,-0.578720401,0.040645668,0.103037444,0.848200891
Polh,-0.00904897,0.999574161,1.110849389,1.67693E-05,-0.971001347,0.00642232
Enpp5,0.200510763,0.999574161,-0.544828254,0.436038366,0.236369506,0.834910415
Cyp39a1,0.411957872,0.999574161,-1.647982572,6.15636E-07,-0.088197632,0.900372752
Fbxl17,-0.048731249,0.999574161,-0.488665896,0.060366178,0.004960151,0.991901442
Crip3,0.50046624,0.999574161,-1.208207906,0.005215111,0.966982271,0.109961253
Rrp36,-0.090048775,0.999574161,1.236422858,6.31089E-07,0.91861579,0.007904069
Ptk7,-1.229769107,0.999574161,-1.202933367,0.370906368,2.630845676,0.101286524
Guca1b,0.12670229,0.999574161,2.15831117,3.53166E-10,-0.195559912,0.777560804
Guca1a,0.816679796,0.999574161,0.005822859,0.99685251,-0.875414985,0.613461151
Gm20517,-0.165222606,0.999574161,1.617029443,2.01225E-05,0.123438964,0.875290264
Bysl,-0.03085588,0.999574161,2.072534311,3.37008E-30,-1.074521934,1.22472E-05
Tfeb,-0.068297153,0.999574161,-0.211522596,0.505513021,-0.580893381,0.107752014
Treml1,-0.232834775,0.999574161,-0.241749959,0.896228939,0.573149275,0.789854444
Tspo2,0.303278349,0.999574161,-0.296811377,0.750618259,-0.635871833,0.579767744
Ppil1,-0.085979438,0.999574161,0.931109011,1.04148E-05,-0.830471615,0.004299594
Mtch1,-0.123451564,0.999574161,0.144498148,0.609194152,-0.405636713,0.205221642
Fgd2,-0.267378255,0.999574161,-0.153852738,0.697610513,-1.035608494,0.006401572
Abcg1,0.198368,0.999574161,-1.175311522,3.04143E-12,0.050668256,0.887495777
Wdr4,-0.271718943,0.999574161,2.062385955,1.4699E-14,-0.548221292,0.203830394
Cbs,-0.133457038,0.999574161,2.85278138,3.04149E-06,0.004422271,0.997113414
Sik1,-0.098457274,0.999574161,1.275100389,0.001938223,1.341620571,0.015875488
Arhgap28,-0.35917099,0.999574161,-0.632266456,0.64576658,0.803552623,0.662482835
Epb41l3,0.780808977,0.572001815,-0.550389912,0.259076238,0.115990808,0.892364133
Emilin2,0.506614066,0.999574161,-0.364431861,0.646847231,0.176887535,0.878354468
Smchd1,-0.130841458,0.999574161,-0.332549597,0.081065476,-0.331045017,0.216648971
Ndc80,0.000465478,0.999574161,-1.146453845,0.000119614,-0.327718279,0.537790777
Galnt14,-0.187473083,0.999574161,-0.958976011,0.141125391,0.782680255,0.416988391
Ehd3,0.405987652,0.89576735,-0.488284084,0.126179354,-0.064556251,0.91254089
Xdh,0.498364964,0.999574161,-0.21764338,0.768790974,0.682761728,0.409702664
Dpy30,-0.02519893,0.999574161,1.389944962,4.04989E-07,-0.699882642,0.087623525
Spast,-0.197005176,0.999574161,0.658848754,0.008162164,-0.625368726,0.071202678
Yipf4,-0.23906703,0.999574161,-0.201375776,0.617968,-0.193162121,0.73753608
Ttc27,-0.152381647,0.999574161,2.368421552,1.35919E-19,-0.68948364,0.084667936
Cebpz,-0.117499797,0.999574161,1.782546417,3.08458E-21,-0.751978034,0.005237916
Qpct,-0.218336776,0.999574161,-1.161623524,0.299113184,1.354752763,0.373864717
Man2a1,-7.81327E-05,0.999883177,-0.814635582,1.80734E-05,0.153849239,0.666057425
Vapa,-0.115641682,0.999574161,1.026608114,2.77092E-05,-0.81026959,0.017850488
Srsf7,-0.033833322,0.999574161,1.439867105,4.48746E-07,-1.014244912,0.011330297
Twsg1,-0.050613393,0.999574161,-0.692706942,0.006631366,0.595543338,0.099065642
Ndufv2,-0.064100008,0.999574161,1.335540523,3.01845E-09,-0.780359462,0.015122693
Cacna1h,0.219525009,0.999574161,-1.392609778,0.007032567,0.914751523,0.238025929
Lrpprc,-0.102907903,0.999574161,1.799117897,2.08665E-18,-0.706519187,0.017922179
Prss30,-0.07488681,0.999574161,-0.838156056,0.082296839,0.692163838,0.327896295
Abca3,0.098977704,0.999574161,-0.925571731,6.37561E-11,0.564527509,0.004523489
Eci1,-0.146980364,0.999574161,1.476498247,1.76944E-07,0.068193978,0.909246654
Pigf,-0.06445688,0.999574161,1.225516518,0.000771758,1.528203249,0.001438722
Cript,-0.207385339,0.999574161,0.265191885,0.463783392,-0.396904135,0.399602744
C3,0.29166336,0.999574161,0.513848847,0.341955949,-0.389167309,0.633374228
Nme4,0.37774507,0.999574161,1.133315221,0.005860196,1.579966718,0.002745287
Pgap6,0.148207877,0.999574161,-0.442152387,0.043039446,0.113597139,0.774489959
Mrpl28,-0.164467488,0.999574161,1.093949521,0.000671234,-0.620620413,0.205859598
Pdia2,-0.000100092,0.999891172,-0.222168449,0.874707422,0.092223321,0.960390758
Fam234a,0.078984658,0.999574161,-1.018330579,1.27442E-05,1.042809606,0.000773073
Phf1,-0.050443107,0.999574161,-0.962207305,2.32733E-05,0.156019438,0.725380796
Cuta,0.13147431,0.999574161,0.770676518,0.009008049,-1.078585033,0.005418751
Plin3,-0.117721984,0.999574161,-0.25444614,0.187260318,-0.153923443,0.618577017
Rfx2,-0.20720998,0.999574161,-1.362059267,0.000143823,0.885692612,0.089614834
Uqcc2,-0.050035389,0.999574161,2.053969784,3.6893E-13,-1.094075658,0.006535248
Ip6k3,-0.667080196,0.999574161,-0.381064766,0.895592833,1.272320908,0.69581347
Grm8,-1.280517714,0.821233047,0.169481133,0.902593641,-0.327719847,0.845846207
Clps,-0.045689534,0.999574161,0.224373909,0.979838575,5.333490168,NA
Svil,-0.110896622,0.999574161,-1.112169947,8.88068E-09,1.29316838,1.92571E-07
Tmem178,0.30786628,0.999574161,-1.438381518,0.388598002,0.755644714,0.770970591
Thumpd2,0.065441168,0.999574161,0.613887767,0.039912101,2.111493262,4.72888E-10
Pkdcc,0.082504731,0.999574161,-0.211760173,0.812180397,-0.045409041,0.972143486
Cox7a2l,-0.116591447,0.999574161,-0.677707442,0.002662968,0.408481175,0.234203973
Polr2d,-0.000892166,0.999574161,1.683775976,2.11672E-11,-0.848366895,0.019338205
Thoc1,-0.088235113,0.999574161,1.664012813,1.32906E-14,-0.6011218,0.064083204
Esco1,-0.141500698,0.999574161,0.462895722,0.072197974,-0.661141202,0.048811227
Adamts10,-0.246111256,0.999574161,-0.244672477,0.316845801,0.019934108,0.964953277
Myo1f,0.167466565,0.999574161,-0.757680029,0.037130994,0.194901055,0.767980603
Kifc5b,0.132799125,0.999574161,0.22902785,0.679857231,1.980989724,7.89703E-05
Pfdn6,-0.100264531,0.999574161,1.871636659,6.08058E-12,-0.764851432,0.059939521
Wdr46,-0.025805477,0.999574161,2.303230363,4.0808E-40,-0.339724291,0.236613681
Rnf138,-0.136550496,0.999574161,0.803518322,0.000222794,-0.755971956,0.011716524
H2-Oa,-0.050352701,0.999574161,-1.256842889,1.48305E-09,0.058388466,0.896090773
Psmb8,0.005574548,0.999574161,0.340207226,0.23531069,-0.843707697,0.012617413
Btnl2,-0.212967563,0.999574161,-1.133254891,0.000108174,0.389382615,0.432154819
Hspa9,0.008836532,0.999574161,2.484840282,5.87191E-41,-1.017313379,5.90794E-05
Etf1,-0.013923434,0.999574161,1.90645611,1.37073E-23,-1.160079347,5.49365E-06
Nelfe,-0.029555239,0.999574161,1.53965833,1.04296E-12,-0.62630789,0.052200973
C2,0.230965434,0.999574161,0.122286032,0.801019522,-0.26153797,0.656151411
Epb41l4a,-0.089039952,0.999574161,2.18356523,2.32621E-05,-0.732876176,0.398875262
Stard4,0.050802627,0.999574161,0.968635857,0.000119864,-1.148805477,0.000581564
Bin1,0.042904207,0.999574161,-0.26740145,0.098773259,-0.44389488,0.030422643
Csnk2b,-0.06998138,0.999574161,1.289846245,1.62989E-08,-0.78338771,0.015888236
Myo7b,-0.751070675,0.999574161,0.195507861,0.973956026,5.441639859,NA
Aif1,0.327845785,0.999574161,-0.261458326,0.650788594,-0.278279625,0.72881735
Ltb,-0.278080401,0.999574161,0.21775841,0.492975783,-1.508721333,1.20822E-06
Tnf,-0.191993556,0.999574161,2.288472246,1.12336E-18,-2.03527469,1.55869E-09
Lta,-0.024167109,0.999574161,1.229397285,6.57182E-11,-1.350366241,3.55639E-08
Zfp521,-0.480825034,0.999574161,-0.213987137,0.850112766,-0.042654247,0.980057555
Lama3,-0.191668735,0.999574161,0.479315308,0.784897056,0.688841802,0.761484946
Ttc39c,0.452512761,0.999574161,-0.098354436,0.94920952,0.731908522,0.611658897
Ndfip1,0.098482541,0.999574161,-0.579531611,0.00655176,0.326393365,0.325103147
Mrps18b,0.012640241,0.999574161,2.133905534,2.38015E-25,-0.677118809,0.024887042
Pcdh12,-0.644361374,0.999574161,-1.086455582,0.322116911,0.687591953,0.691130347
Arap3,0.307914062,0.999574161,-0.29958568,0.644678793,0.27805592,0.760182981
H2-M5,-0.013862883,0.999574161,0.493950711,0.854885172,1.013488148,NA
Gabbr1,0.2030602,0.999574161,-0.689028618,0.013455703,0.352659778,0.42899491
Ap3s1,-0.0014117,0.999574161,0.215161727,0.601550903,-0.291439657,0.598475647
Slc4a9,-0.753837325,0.999574161,4.001326478,0.116566278,1.635459013,NA
Lars,-0.110647181,0.999574161,1.891127073,3.17174E-16,-0.744435957,0.028299608
Dpysl3,-0.21509262,0.999574161,-0.038244192,0.978737461,0.804980394,0.578336184
Mbd2,-0.054027084,0.999574161,-0.421168355,0.008471067,0.105803846,0.72105894
Sec11c,0.062720054,0.999574161,-0.167202998,0.379338763,-0.410291323,0.064853229
Pmaip1,0.323288538,0.892199085,0.443811591,0.066326092,3.148450129,7.3002E-35
Srfbp1,-0.082505108,0.999574161,2.117033662,6.06919E-27,-0.850308836,0.002383534
Lox,-0.29434559,0.999574161,2.597950733,0.127016624,1.254610153,0.656934083
Spire1,0.409510183,0.916610955,1.549353577,2.68695E-08,-1.66193546,6.30034E-06
Snx24,0.061159619,0.999574161,-0.796365104,0.187742965,0.305358807,0.765567778
Psmg2,-0.108567273,0.999574161,1.845973217,5.33099E-10,-1.04274971,0.014245554
Ppic,0.423723543,0.999574161,0.196802246,0.924122113,-0.275261331,0.908524003
Ldlrad4,0.016342739,0.999574161,-1.36234318,0.000144737,0.818497077,0.121474097
Me2,0.002921054,0.999574161,0.479367426,0.018625979,-0.687027519,0.009798128
Grpel2,-0.132805322,0.999574161,1.126789869,3.11924E-07,-0.842369991,0.006124121
Nars,0.130474884,0.999574161,1.973385854,6.20093E-23,-1.226937483,4.70581E-06
Fech,-0.869115966,0.999574161,-1.111621674,0.239180643,0.245673322,0.881153738
Nedd4l,-0.112888321,0.999574161,-0.980499136,6.61129E-06,0.445006678,0.185904029
Tmx3,-0.079528504,0.999574161,0.157776152,0.687616986,-0.72632035,0.069116572
Pdgfrb,-0.971757936,0.999574161,0.180438831,0.905650076,0.940802824,0.554270511
Csf1r,0.220800833,0.999574161,-0.691039666,0.074279432,0.102700442,0.886503915
Psat1,0.339295777,0.989002519,2.491990401,1.14806E-24,-1.717243294,7.67533E-08
Cbln2,0.190414647,0.999574161,2.157862892,0.048828738,0.547511859,0.780176718
Anxa1,-0.137666125,0.999574161,-1.525828492,0.002959362,0.439995394,0.632082596
Rab3il1,0.606509902,0.552225806,-0.401271874,0.291095553,-0.436058234,0.411462797
Fads3,0.729990992,0.999574161,0.704304815,0.344846726,-1.765358485,0.046749647
Fads2,0.022479723,0.999574161,0.462085316,0.654915484,-0.883835935,0.502068806
Tmem138,-0.051950926,0.999574161,0.963914829,0.017629384,-1.020822959,0.068217846
Tmem216,-0.148142633,0.999574161,0.414654939,0.255810533,-0.438380154,0.398080097
Ms4a7,0.608587926,0.741967236,-0.184527964,0.724883324,0.056381498,0.9430502
Ms4a1,-0.183217253,0.999574161,0.537335155,0.123945298,-0.675109378,0.148222516
Ms4a4c,-0.274307851,0.750877216,0.337056521,0.060301154,-0.944562851,7.17576E-06
Fam111a,0.060571558,0.999574161,0.709527432,0.005575899,-0.96200645,0.004110929
Lpxn,-0.014649268,0.999574161,0.465319826,0.093291937,-0.803826032,0.0210655
Rfk,-0.036817852,0.999574161,-0.278938741,0.280292872,-0.294147299,0.42050531
Pcsk5,-0.830016847,0.999574161,0.009761629,0.993676407,1.696503182,0.170641412
Carnmt1,0.051212691,0.999574161,1.542177008,3.84528E-06,-1.598493623,0.000349611
Trpm6,0.930222112,0.999574161,2.490677274,0.057116987,-0.409453112,0.86499398
Ms4a8a,0.080689662,0.999574161,-0.815133414,0.34915614,0.752940224,0.549629361
Ccdc86,-0.097924011,0.999574161,2.066658154,9.69839E-24,-0.149441628,0.720354371
Prpf19,-0.071956978,0.999574161,2.020115316,5.93251E-11,-0.735135918,0.120619214
Tmem132a,0.207918351,0.999574161,0.45153297,0.254815327,-0.988509864,0.041491948
Fen1,0.075339408,0.999574161,1.696764985,5.50434E-09,-1.168829091,0.004036412
Syt7,-0.038955432,0.999574161,-0.801131808,0.298088128,1.334509346,0.168470702
Tmc1,0.306039112,0.999574161,-1.207631771,0.325516658,1.798015078,0.246921046
Zfand5,-0.178956724,0.999574161,0.184483519,0.596829781,-0.619629457,0.100998016
Slc22a19,0.258369653,0.999574161,-0.815195423,0.098383566,0.593359487,0.422173264
Rtn3,0.064124221,0.999574161,-0.41190061,0.047422713,-0.15450321,0.666248144
Atl3,-0.003545084,0.999574161,0.45490587,0.045004948,-0.675170551,0.021215596
Cdc42bpg,0.072467214,0.999574161,-0.674857466,0.014625962,4.779480032,9.29801E-57
Ankrd22,1.48613022,0.999574161,1.526496284,0.413534702,-1.455539825,0.581861075
Stambpl1,-0.236545002,0.999574161,-0.164483705,0.505042739,-0.601581755,0.024351858
Ppp2r5b,-0.125409066,0.999574161,-0.520646734,0.105278273,0.019498287,0.976560359
Fas,0.468691742,0.999574161,2.184190957,5.28021E-07,1.669232608,0.00558828
Lipa,0.453223867,0.949061934,-0.654097236,0.075975657,0.108709284,0.874911373
Rcl1,0.102313723,0.999574161,2.400271001,1.62384E-44,-0.84845716,0.000396753
Jak2,-0.118666555,0.999574161,-0.819502332,3.13678E-05,0.063816345,0.875290264
Sac3d1,-0.16143371,0.999574161,1.492428246,1.08274E-05,1.242946842,0.00798053
Cdca5,0.440651912,0.999574161,1.028486738,0.012736731,-1.297571197,0.018638048
Tnfrsf25,-0.118009803,0.999574161,-0.006081019,0.996285227,0.616408363,0.70504351
Htr7,0.470612756,0.999574161,-0.450072904,0.75687808,-0.388991863,0.848200891
Rad9a,-0.170885819,0.999574161,0.712804997,0.038355496,-0.517416654,0.315792258
Mrpl21,0.047065663,0.999574161,1.961047877,9.27465E-13,-0.890744692,0.025919008
Coro1b,0.042494669,0.999574161,-0.596112586,0.005045402,-0.106853665,0.791344666
Eif1ad,-0.143999763,0.999574161,1.483014821,5.10665E-12,-0.992653944,0.000822108
Banf1,0.29733553,0.999574161,1.754348698,3.19388E-14,-0.416113231,0.274783321
Pitpnm1,-0.170531772,0.999574161,-0.88181275,8.06343E-07,0.75182721,0.002099425
Pold4,-0.073325068,0.999574161,-0.767722173,0.005105795,0.618675422,0.114413585
Pacs1,0.009071501,0.999574161,-1.020118662,1.62348E-06,0.320289691,0.366139797
Cdk2ap2,-0.049860501,0.999574161,0.178266876,0.663109062,-0.266896177,0.616638351
Pip5k1b,-0.31635284,0.999574161,-1.73893196,9.82792E-10,0.931832977,0.022822587
Aldh3b1,0.102791032,0.999574161,-0.198944344,0.482246488,-0.498275925,0.130611856
Asah2,0.182576022,0.999574161,-0.692317213,0.005933187,0.19981301,0.657397151
Rce1,-0.163797176,0.999574161,1.439543634,6.85062E-07,-0.894251369,0.032073448
Slc29a2,-0.118974243,0.999574161,2.674578404,7.92164E-19,-0.990653657,0.027092225
Minpp1,0.176746669,0.999574161,1.55359441,2.88382E-08,-1.38601735,0.000239671
Cpt1a,0.121230825,0.999574161,-2.519437266,3.0483E-20,1.011828169,0.010084001
Peli3,-0.15321807,0.999574161,-1.298816183,0.098015232,4.4145802,1.06341E-07
Mrpl11,-0.072023546,0.999574161,1.534464841,6.35459E-12,-0.508191195,0.143617643
Fosl1,-0.10488964,0.999574161,1.519179099,3.09858E-05,1.777730979,0.000184206
Slc1a1,0.12491915,0.999574161,-0.026934734,0.982346568,0.203059014,0.90728783
Kcnk7,-0.35658488,0.999574161,-0.721038634,0.383246438,0.125981422,0.931961322
Ehbp1l1,-0.002734351,0.999574161,-0.30508524,0.04284204,-0.088836023,0.744879685
Fam89b,-0.07048144,0.999574161,-0.981723719,0.000153454,0.066945674,0.901271221
Capn1,0.094710115,0.999574161,-1.103918092,2.06553E-10,0.35985565,0.190125298
Map4k2,-0.265524556,0.999574161,-0.999667952,0.000195385,0.26400937,0.581311457
Prdx5,-0.165529298,0.999574161,0.360193862,0.181848105,-0.385556767,0.30787542
Gpr137,0.07007141,0.999574161,0.058642919,0.895188346,-0.419479518,0.324831956
Stip1,0.082656997,0.999574161,2.538121923,5.57549E-13,-1.708971957,0.000396753
Rcor2,-0.245855042,0.999574161,1.450354379,0.000222794,-0.653170146,0.304318217
Tcf7l2,0.767027237,0.735652091,-0.587008353,0.278936696,0.185933453,0.84247175
Hhex,-0.126595994,0.999574161,-1.057878677,0.000243952,0.893878317,0.025807833
Cep55,0.420048351,0.999574161,0.356375918,0.571372471,-1.164221393,0.091600657
Prdx3,-0.029478954,0.999574161,1.500929902,3.32282E-06,-0.868615107,0.0661612
Plce1,-0.452551332,0.999574161,-0.585078882,0.405709327,0.285851589,0.798228578
Noc3l,0.045315911,0.999574161,2.213858755,4.66979E-25,-0.968110844,0.001283906
Hells,0.088539901,0.999574161,1.375595202,3.39316E-10,-1.350473456,2.74574E-06
Sorbs1,-0.247134587,0.999574161,-1.278387131,7.77322E-06,1.00538663,0.011365184
Aldh18a1,0.134891695,0.999574161,2.244001476,2.13323E-31,-1.370359456,6.68835E-08
Tctn3,0.201638043,0.999574161,0.347264081,0.312277325,-0.733784862,0.079353935
Ccnj,-0.064415102,0.999574161,-0.230299134,0.463497654,-0.541490464,0.144124946
Dntt,-1.040725324,0.892199085,-0.400836807,0.687616986,0.055926479,0.972143486
Add3,-0.137983142,0.999574161,-2.109841169,1.09312E-32,0.419928999,0.131671241
Arl3,0.065825688,0.999574161,1.019867108,0.002953499,-1.015479558,0.032672541
Fundc1,0.136401123,0.999574161,-0.020184391,0.970437943,-0.399763866,0.369823283
Msr1,-0.572630352,0.999574161,0.542281547,0.422880015,-0.045539562,0.970305736
Pcgf6,-0.046252217,0.999574161,1.845059521,1.72963E-11,-0.80523805,0.047520367
Gsto1,0.360838394,0.86374204,1.923043476,6.37178E-18,-1.066717579,0.000556112
Casp7,0.0903257,0.999574161,-0.358000383,0.335752544,2.054070291,6.543E-08
Afap1l2,-0.758133058,0.999574161,0.303910338,0.816711624,0.397879155,0.815504112
Ablim1,-0.010840055,0.999574161,-0.697476793,0.001305553,0.227433435,0.545750396
Trub1,-0.063390174,0.999574161,1.794798152,1.33825E-25,-0.28559117,0.329343692
Gfra1,-1.127636976,0.980490136,-0.6322419,0.580397052,-0.278459682,0.87749794
Hspa12a,0.798861537,0.974027795,-2.068853844,0.001407224,-0.226902569,0.861821806
Slc18a2,-0.482222131,0.65067145,0.09843712,0.812180397,-0.104594788,0.850559674
Btbd1,-0.043699346,0.999574161,0.675281095,0.001628356,-0.975913794,0.000440938
Hdgfl3,0.021900027,0.999574161,-1.120726123,0.000869307,-0.193925353,0.763961778
Ppp1r27,0.20810748,0.999574161,2.118799517,0.019093399,0.049803395,0.980057555
Ints4,-0.118840606,0.999574161,-0.6779458,0.000659689,0.22094786,0.521290177
Alyref,-0.042883973,0.999574161,2.130649589,8.49786E-19,-0.830251643,0.017513535
Pcyt2,-0.170469757,0.999574161,1.304198354,3.54797E-09,-0.740607458,0.019200764
Myadml2,-0.457997228,0.999574161,-1.998861483,0.14007296,-0.362006011,0.887537955
Cbr2,1.505134653,0.536328212,-0.504459208,0.655591561,0.162537955,0.922106136
Maged1,0.354918459,0.999574161,-0.549680471,0.0844085,-0.067550039,0.909924459
Fasn,0.007979442,0.999574161,2.021991531,1.07128E-18,-0.90032065,0.005954524
Arhgap19,0.632087536,0.1831739,-0.407288757,0.175227396,-0.415895351,0.326811117
Gps1,-0.165818366,0.999574161,1.616443877,6.94245E-09,-0.83654023,0.040046687
Zdhhc16,-0.130934742,0.999574161,0.918102272,0.000418113,-0.761265858,0.037895308
Cd7,-0.382966362,0.999574161,-0.213121236,0.702357752,-0.026211825,0.976660882
Ogfod3,-0.103202999,0.999574161,0.231927449,0.597929976,-0.640090429,0.206661772
Ankrd2,-0.742329736,0.999574161,-0.215261011,0.906205746,0.234084893,0.918223712
Fn3k,0.735197596,0.999574161,-0.680708162,0.630286731,0.7362191,0.70143447
Entpd7,-0.193934718,0.999574161,-0.573041084,0.058691635,0.20865825,0.693037448
Dnmbp,0.080706691,0.999574161,-0.993017386,2.82253E-05,0.686549091,0.042547322
Bloc1s2-ps,4.140271786,0.999574161,0.224265143,0.979838575,3.454202488,0.757297679
Scd2,0.236913132,0.999574161,0.604704822,0.01616139,1.349845755,9.39426E-06
Sfxn3,-0.068682547,0.999574161,-1.544030687,1.51862E-05,1.567570002,0.001043767
Kazald1,-0.242526566,0.999574161,0.453195988,0.613471163,2.160059347,0.016722998
Tlx1,-1.286025476,0.999574161,-0.052171374,0.979838575,0.639596394,0.810545794
