genes,WTvsMu_lfc,WTvsMu_FDR,IRvsMock_lfc,IRvsMock_FDR,Interaction_lfc,Interaction_FDR
Ccl3,0.642018323,0.999574161,0.363180377,0.777797062,-0.48669852,0.771170517
Wfdc18,0.789469005,0.999574161,-1.684251696,0.382535569,0.730773142,NA
Snapin,-0.186497309,0.999574161,-0.026083244,0.960821942,0.010241174,0.985927477
S100a6,0.077786835,0.999574161,-0.998548874,0.036481964,1.013319775,0.123276843
Scn4a,-0.098928178,0.999574161,-1.602905326,2.25258E-12,0.442502302,0.232386501
Icam2,-0.299513124,0.892199085,0.130093937,0.648142486,-0.686214415,0.015784448
Epn2,0.054439609,0.999574161,0.178434048,0.658093764,-0.502255458,0.276618379
N4bp3,-0.203606565,0.999574161,-0.110538417,0.731107972,-0.285517113,0.449648186
Rmnd5b,-0.223962212,0.999574161,-0.097961921,0.739517531,-0.342680408,0.288587191
Nhp2,0.059196065,0.999574161,2.839142786,1.40503E-31,-1.336945816,5.42841E-05
Mfsd10,-0.027984536,0.999574161,-1.396207697,2.49241E-11,0.195036011,0.624641476
Sebox,-0.259851965,0.999574161,1.667065244,0.021245855,-1.266497361,0.248493503
Ift20,-0.045676747,0.999574161,1.32462974,1.22621E-05,-0.836836974,0.056861995
Col6a1,-1.360007452,0.999574161,-0.383428217,0.82396623,2.042800594,0.240311627
Timp1,0.574256223,0.999574161,2.444419591,0.082474925,-0.260246572,0.921906889
Uxt,-0.10889819,0.999574161,1.536050962,2.1845E-09,-0.569694323,0.153580709
Oas1c,-0.244834409,0.999574161,-1.029907246,0.000721859,0.750286061,0.087326046
Calm1,-0.069893704,0.999574161,0.550842327,0.091867811,-0.647048645,0.142691264
Sema6b,-0.442480232,0.999574161,-1.285987974,0.023791267,0.929860161,0.274591612
Uhrf1,0.386298665,0.930194188,1.870556312,2.57734E-12,-2.273441382,1.93663E-11
Ramp2,0.102190289,0.999574161,-0.114734194,0.957735639,0.57721617,0.786041477
Ckb,0.564219906,0.706064219,-0.987135027,0.003825256,0.906058914,0.054390932
Itgb7,0.082576402,0.999574161,-2.329934382,6.00592E-34,-0.319189493,0.332782959
Myg1,-0.061756647,0.999574161,1.204264264,7.01803E-07,-1.005589796,0.002660295
Rarg,0.232097641,0.999574161,-0.411097513,0.499891482,2.348148545,0.000104186
Rrp15,-0.078418417,0.999574161,2.843239639,5.30328E-36,-0.816566152,0.013678808
Acp5,0.205970869,0.999574161,-1.6043873,2.87853E-13,0.329029047,0.382260854
Hars,0.001636605,0.999574161,1.641645586,1.12404E-15,-0.788503986,0.007037308
Cct3,-0.123552711,0.999574161,2.633623846,9.18714E-25,-1.324926707,0.000166086
Tmem79,-0.099912455,0.999574161,1.912855249,1.21523E-06,-0.177766679,0.82854869
Slc19a1,-0.14374396,0.999574161,2.49579917,2.25568E-28,-1.220396655,8.38356E-05
Kpnb1,0.029269927,0.999574161,1.758766413,8.08778E-18,-1.111752912,5.91931E-05
Tbx21,0.334057807,0.999574161,-0.494952703,0.218752639,0.031643637,0.967657683
Cyp51,-0.156103922,0.999574161,2.352873017,6.13099E-21,-1.686621159,3.33741E-07
Nkx2-1,0.490573642,0.999574161,-0.38927531,0.801576004,1.911536778,0.21191659
Gtf2h4,-0.008928816,0.999574161,1.832020554,7.13523E-16,-0.660309064,0.05248579
Tubb5,0.074797954,0.999574161,1.207556904,9.29923E-06,-1.310661727,0.00028567
Jup,0.412644382,0.999574161,-1.30611407,0.000598637,0.491050315,0.438191993
Fkbp10,-0.515869138,0.999574161,0.702606978,0.405197902,1.816210706,0.062753704
Ergic1,0.053623712,0.999574161,2.141630399,1.66109E-19,0.11353777,0.819693549
Acap1,-0.113118644,0.999574161,-0.742760606,0.000337483,-0.457770533,0.135872322
Tcea3,0.228290075,0.999574161,-1.576173588,0.048267376,0.506181248,0.720354371
Ifrd1,-0.113157657,0.999574161,2.191568177,9.81397E-24,-0.72810749,0.023066968
