genes,Raditation_LFC,Radiation_FDR
Gnmt,0.065298055,0.965260048
Kdelr1,-0.476868156,0.180532405
Jag2,3.702582024,4.02E-09
Epdr1,0.017102442,NA
Qtrt1,-0.530659504,0.198505119
Chaf1a,-1.601382926,5.08E-05
Pla1a,1.002312829,0.544605131
Mcm2,-1.577577461,6.69E-08
Tpra1,0.002259316,0.995285509
Adgre5,-0.148693636,0.588951855
Il17ra,-0.174202108,0.571784428
Kcnn1,-1.243245169,0.400130459
Ppp1r17,2.54793246,0.143954548
Cd36,-2.365424303,8.49E-08
Bcam,1.246541819,0.352051385
Tomm40,-0.840254449,0.004684135
Apoe,0.178268555,0.811122358
Apoc2,1.243235801,0.318289032
Prkar2b,-0.786848796,0.222340616
Cdkn1b,-0.01227709,0.976560359
Ap1m1,-0.125379768,0.743895488
Efna2,-2.064490499,0.225188312
Slc2a3,-0.677740234,0.003129063
Bcl2l12,-0.65368188,0.089347393
Mpnd,0.052685717,0.935168082
Eif2b5,-0.605974305,0.041551316
Dlgap1,0.473897388,0.685076574
Plag1,0.332841466,0.637406441
Hck,0.195643393,0.649070585
Keap1,-0.696003592,0.005605812
Ap1m2,0.352673255,0.663320704
Atp8b3,-1.168674438,0.633374228
Abhd17a,-1.056900874,0.022939308
Fkbp11,-0.064509467,0.965371332
Pld3,0.11448423,0.839199875
Cd79a,-0.225201943,0.561230114
Rabac1,-0.416568122,0.364014541
Elavl3,0.999151333,0.464802033
Rab3b,1.33974816,0.48260501
St8sia6,-1.156081971,0.001238406
Fcgrt,-0.011436741,0.985582469
Timm50,-1.064285788,0.000358864
Med29,-0.782794568,0.053555571
Phyhip,-1.349292412,NA
Crhr2,5.760067838,NA
Cyp4f18,0.437139176,0.207412447
Ier3,0.050851596,0.978339174
Fosb,0.408567698,0.707008374
Klc4,0.732853098,0.002921585
As3mt,-0.704326964,0.020568656
Homer3,2.636038549,1.50E-08
Sec14l2,-0.241522757,0.870955782
Aven,-0.464173869,0.223554354
Cp,0.203053365,0.772871116
Man1a,-0.397180461,0.098210136
Kif20a,-1.008689475,0.072257199
Gcdh,3.688860201,1.81E-18
Syce2,0.188263281,0.752551029
Nqo1,-0.540136557,0.76127014
Gys1,-0.14432171,0.750221255
Ruvbl2,-1.171496262,0.000894822
Bax,2.177900862,5.00E-09
Efnb3,0.22089965,0.860014589
Fam162a,-0.637898786,0.114526783
Gstm5,-1.643535166,0.24299174
Cavin1,1.070439114,0.504375848
Col5a3,0.806176109,0.551197517
Ppan,-0.658310977,0.004616013
Angptl2,1.24452447,0.030467093
Cacna1e,0.486526952,0.256631567
Cacna1b,2.196344675,0.000203534
Etv1,0.664394371,0.528968713
Kifc2,0.934210565,0.061362876
Psap,-0.024673248,0.95324521
Pax2,5.137831156,NA
Phb2,-0.62143315,0.056183603
Ptpn6,-1.003981845,8.93E-06
Emg1,-0.807521449,0.050522906
Atp6v1f,-0.473241343,0.35936563
Hif3a,0.027700829,0.972143486
Utp20,0.405102529,0.278403464
Ddx56,-0.633297835,0.087623525
Bid,-0.971264185,0.003967271
Gab2,0.217215004,0.771170517
Ctse,1.283062302,0.001268106
Arhgef18,1.47114954,9.46E-07
Nkg7,0.900243054,0.291076407
Slbp,-0.749930012,0.009814536
Aqp1,-2.630082991,0.017018103
Cnn2,-0.147730222,0.685268064
Abca13,-0.25942788,0.850949385
Hdac9,-0.03054731,0.951893981
Adgre1,-0.507858851,0.277720657
Mtfp1,-1.438509803,0.016726392
Pgf,3.69647283,0.031086962
Ulk2,0.129468327,0.712489098
Ccl24,0.282624745,0.753741718
Grap,-0.267858957,0.413479607
Pou1f1,3.447962428,0.054170612
Ap1s1,-0.318495747,0.493334061
Lbr,-0.126060404,0.799736943
Nes,1.77892059,0.205370962
Hdgf,-1.181137348,6.77E-05
Thop1,-1.422788275,0.000173861
Matk,0.304022753,0.364014541
Map2k1,-0.512307409,0.266569495
Hspb1,-0.158013202,0.959635107
Fxyd4,-0.154919351,0.900517657
Prkacb,-0.410911571,0.17547701
Sgsh,0.464660206,0.207411103
Wdr1,-0.17323876,0.687920285
Slc2a9,4.045321766,1.05E-33
Ndrg1,0.991749173,0.079396761
4930550C14Rik,0.853577969,0.624641476
Prdx2,-0.661758169,0.157241305
Corin,0.012028267,0.991959035
Spc25,2.330219998,5.28E-06
Dnah2,1.780830198,0.043828531
Fgfr4,0.597528647,0.818342135
Crbn,-0.205787471,0.483277564
Il5ra,0.678311101,0.018146561
Msh6,1.235270732,0.001588315
Tbl2,-1.017396536,1.51E-05
Nid1,-0.636486334,0.153241119
Mcm5,-1.557309426,8.40E-05
Hmox1,0.856023744,0.241784083
Pafah1b3,0.819347445,0.101706583
Il27ra,-0.090798277,0.789854444
Prkaca,-0.140969417,0.783504195
Asf1b,-1.591835798,0.006480605
Ddx39a,-0.840919149,0.016722998
Dnajb1,-1.3343357,0.046514789
Ndufs3,-0.839740622,0.05276184
Insr,0.710608858,0.047013408
Fcer2a,-0.283472153,0.510817092
Trim28,-0.87697038,0.038820802
Adcy9,-0.173419368,0.824885356
Mef2c,-0.346320208,0.188770733
Eif4g2,-1.078398926,0.073742281
Irag1,0.436991426,0.523008367
Pcyt1a,-0.381161295,0.179094643
Zfp592,0.05465609,0.892728119
Insrr,2.192116909,0.021626592
Snx6,-0.769439647,0.019127965
Mthfd2,-2.010155249,2.27E-07
Tomm40l,-0.432932867,0.356497225
Ampd3,0.444447852,0.247946913
Pard6a,-0.584096077,0.349735144
Tfap4,-1.053082206,0.000532876
Ranbp1,-1.173988396,3.63E-05
Psmb4,-0.719715513,0.166237128
Mmp8,-0.202054216,0.925071066
Slc30a4,-0.761209974,0.022050615
Sqor,0.278987029,0.741007576
Gata6,1.132908206,0.628451694
Rsl1d1,-1.15425675,0.000183273
Reep5,0.200710133,0.649862924
Spo11,1.105843806,0.023973778
Ctns,0.290700318,0.421566023
P2rx5,-0.820702084,0.269941214
Trpv1,1.56885947,NA
Tuft1,0.158087996,0.762004667
Rcn1,-1.190656706,0.000109703
Trap1,-0.43092591,0.167608425
Atp5g1,-0.898812052,0.014213508
Inpp5k,0.496029413,0.098020037
Eps8l1,1.780846392,0.402970767
Prss16,-0.80954287,0.415317068
Epor,-0.995777583,0.145231119
Ccdc159,2.848124497,0.052472053
Ttc5,-0.145168525,0.780176718
Upk1a,-0.612610765,0.771228648
Tmem147,-0.45990582,0.533475284
Ggt5,0.840946641,0.203198087
Ggt1,2.149023685,0.243316074
Crip2,2.705344243,2.27E-06
Crip1,-0.365748743,0.33548196
Gcat,-1.214617124,0.086170087
Tek,0.745016515,0.63401528
Mpl,0.749526744,0.509261327
Nectin4,1.978730965,0.000650679
Neurl1a,1.034653979,0.494882415
Srm,-0.841790384,0.000943687
Epha2,4.863626409,9.26E-45
Nsmf,0.142845205,0.748850581
Pdk1,-0.447806814,0.056222929
Mvd,-1.111226201,1.72E-05
Cryba2,0.725591425,0.737711197
Atp7b,-1.1939803,0.408868108
Slc4a1,-1.281564539,0.664595989
Slc4a3,-0.268027101,0.850949385
Snai3,4.61764124,1.76E-10
Aprt,0.613616159,0.314468839
Gtf2h1,-0.695769362,0.015422758
Slc5a6,-0.135994544,0.81267706
Pknox1,-0.94932375,0.038435439
Gmnn,-1.50464282,0.001284311
Cyp27b1,-0.703644624,0.519829166
Cdk4,-1.285057687,0.000137797
Mettl1,-0.624832226,0.079892559
Tspan31,-0.219858204,0.522373919
Cnp,-0.175130733,0.746891641
Sulf2,3.534708544,3.66E-13
Sod2,-1.040802883,2.78E-05
Stambp,0.724143622,0.283112858
Hap1,-0.050040074,0.951893981
Hspa1l,-0.453225824,0.545713622
Msh5,0.647468565,0.198316942
Neu1,-0.545918958,0.01525905
Ddah2,0.460979225,0.546558796
Atp1a4,1.243894585,NA
Casq1,0.085519667,0.968054408
Dennd2c,4.621530175,2.26E-40
Gatad1,-0.705999129,0.011529779
M6pr,-0.913897441,0.00316976
Tgfbr1,-0.511055716,0.040289494
Gabrb2,2.549439206,0.101559253
Cav1,-0.194595323,0.932177529
Arpp19,-0.712934095,0.018276327
Bcl2l1,1.14240083,0.139177193
Ccdc124,-0.649125594,0.060897364
Cct4,-0.875898151,0.01405455
0610009B22Rik,-0.718509427,0.318232483
Cpt1c,4.075896323,6.84E-05
Zmiz1,0.906142752,0.030512158
Ift43,-0.555707899,0.741550185
Id3,0.176534607,0.815267947
Ctsd,0.163008519,0.80673816
Hmgcll1,4.382245196,5.32E-11
Abhd8,-0.258576508,0.709624623
Ift22,-0.40978728,0.300971644
Ap2s1,-0.59644278,0.161688724
Brme1,-0.261982859,0.75048766
Fbxw9,2.45176233,4.68E-09
Cers4,2.350066871,4.69E-19
Snrpb2,-0.916125257,0.011500656
Prpf31,-0.633277726,0.01732079
Sertad1,-0.606121593,0.125624179
Carhsp1,2.864401295,2.67E-09
Elk3,-0.455445446,0.087093203
Nutf2,-0.928383686,0.125924441
Arpc5,-0.108788481,0.816430222
Rnf151,-0.13187003,0.960797904
Mgst1,0.90931429,0.15585819
Ubqln4,-0.056052063,0.915662533
Cldn13,-3.127348171,0.081707053
Cd163,0.25051186,0.741550185
Hdac5,0.348120852,0.224754641
Dynll1,-1.056588786,0.023820337
Ap1b1,-0.206725643,0.562806082
Gnat2,-0.976670447,0.251367019
Prr29,-0.134505632,0.884058669
Trpm5,0.535122068,0.358235106
Trpm2,1.104147382,0.000141752
Mpo,1.104875078,0.251509179
Met,0.453986106,0.71872307
Syn2,-0.007668846,0.995285509
Nav1,0.029714774,0.971844007
6330409D20Rik,0.91768824,0.034548718
Fpgs,-0.731610287,0.015939137
Cbx5,-1.165535292,0.000951117
Tex15,3.845269547,1.26E-07
Ppp2cb,-0.540225323,0.177640062
Oit3,0.926018958,0.72881735
Fxyd5,0.60992465,0.12407447
Kcnd1,0.012863733,0.989275208
Pou6f2,1.469475692,0.324517344
Pou6f1,0.73078553,0.057487722
Sdhb,-0.6883469,0.064083204
Nxf2,0.982424038,0.608218217
Kif19a,0.809091548,0.176694259
Aldh3a2,-0.364387752,0.325611126
Hyal2,-0.352852308,0.53629587
Ifrd2,-1.053580444,0.001429348
Pifo,0.012703459,0.992224842
Tnfrsf13b,-0.788536236,0.022120914
Prox1,0.657486909,0.736974089
Tmem86a,0.544968074,0.433594568
Myt1,0.412343077,0.838431135
Tsacc,0.110959191,0.875142433
Mettl16,-0.682209246,0.013259886
Psen2,-0.297762185,0.30787542
Fads1,-1.465015636,0.000165463
Lmbr1,0.168236826,0.81885237
Cars,-0.595466963,0.033785608
Kdelr3,0.08307438,0.944240326
Apip,-0.470670637,0.2685846
Mcoln2,-0.867308548,0.000712021
Slc5a1,6.40361113,0.07012462
Tbrg1,-0.822602198,0.011463089
Adssl1,0.394277549,0.647762818
Cfap161,-1.176981139,0.598856381
Odc1,-0.403922559,0.411462797
Pabpc4,-0.471524943,0.042814629
Exoc3l2,1.772375163,0.137085254
Slc25a41,1.876005634,NA
Pinlyp,4.505069801,0.004684135
Pgam1,-1.029548667,0.008401558
Evi5,-0.166317552,0.61169397
Evi5l,0.588829244,0.097566186
Scarf2,3.662941151,2.79E-05
Mogat1,-1.423034187,0.433773288
Tmem167,-0.770502892,0.022837729
Steap4,0.375524428,0.774866899
Kif11,-1.562640252,0.001438722
Rpa3,-0.887207703,0.047082077
Mlkl,0.532779837,0.463500943
Acp4,-1.28232232,0.035799975
Etv5,1.423063123,0.00269317
Tmem190,-1.380965421,0.102889446
Enkd1,-0.854871969,0.381475995
Atp6v0d1,0.29836031,0.322224098
Ptprs,0.054060529,0.938292831
Fer1l4,1.341668478,0.651861723
4931406B18Rik,1.836197678,0.129006878
Zfp651,1.874544397,0.015512433
Card14,0.357974651,0.841113932
Snx31,-0.162363989,0.899601215
Cad,1.488003028,1.60E-05
Atad1,-1.056223806,0.000529691
Timm23,-1.322324893,0.011365184
Tnfaip8l2,-0.28595032,0.377036404
Trnt1,-1.039802909,0.00042733
Elof1,-0.477972141,0.316946211
St3gal1,-0.288788336,0.658130522
Mcemp1,0.264377586,0.737099279
Dynlt2b,-0.572466148,0.268096936
Chp1,0.125952493,0.768333413
Cacybp,-1.965873958,6.24E-06
Ndufa2,-0.434717708,0.540872376
Pam16,-0.01965303,0.976378849
Mertk,0.361941357,0.501369374
Piezo1,0.813942281,0.004252182
Blk,-0.177081026,0.636862722
Rnf166,-0.744358172,0.01419306
Pkd2l2,-0.038081785,0.955456305
Klra17,-0.803994615,0.461651044
Wdfy2,0.259354982,0.542222769
Csf1,2.140194736,5.71E-09
Kif1a,0.294845667,0.850949385
Slc25a11,-0.524970212,0.340859458
Ceacam16,0.818330604,0.012617158
Ankrd53,-0.742391591,0.511051196
Pdcd2,-0.911790386,0.023011823
Nol3,1.089620961,0.502068806
Slc9a5,-0.186299734,0.815433887
Adamts13,0.571040094,0.706537554
Surf4,-0.814951153,0.013041738
Surf2,-0.779845573,0.003033856
Naf1,-1.463028683,1.78E-06
Ppp1cb,-0.383074975,0.39783839
Trappc2l,-0.565568206,0.154592569
Galns,-0.336438359,0.2545195
Gata2,1.078140582,0.561198961
Clic3,-0.497998497,0.381112865
Slc25a13,-0.439792618,0.360638411
Tsr3,-0.670858895,0.100696885
Actn1,0.599222166,0.30787542
Nolc1,-1.134729019,8.16E-07
Map2,0.669111858,0.502493963
Abca1,0.306592868,0.469105882
Nipsnap3b,-0.629118485,0.14945933
Ubl4a,-0.836776199,0.029069525
Gdi1,0.200353295,0.60224067
Sash1,0.205186792,0.753971258
Slamf6,-0.138093465,0.572880196
Slamf1,-1.004561095,2.27E-05
Cybb,-0.956446999,7.00E-05
Xk,-0.972136719,0.002601189
Pcolce2,-0.011603864,0.985741789
Cd48,-0.666123168,0.104466879
Cd83,-0.455824548,0.358972058
Notch4,0.22624107,0.706596077
Ppt2,0.081488563,0.911270126
Fam163a,3.108383424,NA
Hivep2,0.077595778,0.860387919
Itga2,0.215506089,0.845846207
Atp6v0e,-0.462682748,0.160415387
Zfp318,0.577181698,0.100175585
Ttbk1,1.480261116,0.126894218
Hspa8,-2.172172337,3.39E-05
Psma2,-0.914430767,0.012332192
Plekho1,-0.12107182,0.748407198
Aph1a,-0.67048735,0.072876039
Eps8,1.738916826,3.33E-07
Med22,-0.519537178,0.271432019
Med28,-0.918510864,0.040319813
Qdpr,-1.11076238,0.015071386
Gnrh1,-0.771404791,0.308033909
Rxrg,1.29680217,0.373032651
Rxra,0.252530378,0.735742839
Cd5l,0.249412979,0.791350071
Ncapg,-1.501964868,0.011376149
Lcorl,-0.627504092,0.069514417
Lta4h,-0.910656618,0.017096249
Dstn,1.916238707,1.57E-07
Fcgr1,-0.533751853,0.39947687
Wnt11,1.777595377,0.552476434
1700016C15Rik,-0.89861102,0.542660867
Cacna1d,0.881723434,0.098503818
Chdh,-0.363253079,0.758042965
Stk32c,0.674661875,0.693357878
Fli1,-0.106116132,0.753741718
Stard13,-0.206597169,0.921222847
Camk1g,0.967827259,0.519814294
Hsd11b1,0.763334896,0.039909388
Syt14,-0.446168394,0.777560804
Atp5e,-0.246510894,0.731876425
Tubb1,0.973900438,0.406530483
Slc25a5,-0.779883027,0.053903962
Ppdpf,-0.523630716,0.206088478
Col20a1,-0.510300116,0.340859458
Plgrkt,-0.026693388,0.947754019
Dyrk3,2.759135996,2.81E-09
Il10,-0.433460581,0.870004979
Foxred2,-1.124170567,0.002017089
Eif3d,-0.847860622,0.004837388
Phf21b,0.323885624,0.791350071
Cmah,0.193348617,0.615200806
Sulf1,0.148966628,0.924594669
Slpi,0.040652467,0.960556051
Rbpjl,0.693426735,0.288230682
Sdc4,-0.673990444,0.037440067
Il13ra1,-0.086162642,0.910723468
Brca1,-0.691421599,0.119845821
Mpp2,-0.013251315,0.995285509
Aldoc,-0.491560092,0.441303791
Stac2,2.008832074,0.000468374
Cacnb4,0.112581362,0.855071857
Plxdc1,0.582615925,0.591120117
Timp2,0.313634764,0.624158935
Cdc6,-2.008241216,0.001421297
Crlf3,0.054324647,0.891245525
Mmp9,0.054787047,0.975924207
Pltp,0.663232956,0.079235273
Ctsa,-0.426919356,0.06848233
Spata25,-0.653034768,0.618967907
Myo1c,-0.047440136,0.909924459
Retreg3,-0.106849554,0.81885237
Dhx58,0.123019769,0.805670204
Nkiras2,-0.489533405,0.185854255
Eya2,1.065713194,0.355270925
Gdap1l1,1.399527513,0.714191185
Ptgis,-0.306576652,0.706088486
Ddx27,-0.59325757,0.004503517
Cyth4,-0.009447207,0.973544975
Rac3,4.497294444,3.36E-22
Rrp7a,-0.880197269,0.000266407
H2bc4,-0.695464167,0.177969389
Ikzf3,-0.474979478,0.138453626
Mfng,-0.387553322,0.20734931
Gdf9,0.376028535,0.869303557
Psmb6,-0.731043473,0.063658126
Pfn1,-0.630741366,0.054492064
Tomm34,-0.671185036,0.006249539
Ksr1,0.694428034,0.003202234
Anxa6,-0.200967602,0.523008367
Kpna2,-1.543728553,1.78E-05
Cuedc1,2.20611994,8.16E-07
Srsf1,-0.953910068,0.009912588
Abi3,-0.235421961,0.592303934
Shroom1,0.238742895,0.772871116
Septin8,0.210133932,0.845716034
Mrm1,-0.67418184,0.207497066
Gid4,-0.685859115,0.042057636
Ypel2,1.317828583,0.001722498
Akap1,1.409047778,0.000801628
Nol11,-0.491706445,0.181374694
C1qbp,-0.474471899,0.067125609
Rpain,-0.209494895,0.718987911
Slc13a3,1.618023931,0.140633912
Kcnab3,-0.400760177,0.855071857
Chd3,-0.5756608,0.056534897
Kdm6b,0.911015261,0.123168565
1700001P01Rik,-0.799273871,0.571340766
Trim37,-0.522936958,0.08027765
Elp5,-0.566066844,0.142205233
Slc2a4,6.485622686,0.005056466
Gabarap,-0.349875356,0.370353144
2810408A11Rik,0.359912337,0.63401528
G3bp1,-0.917058758,0.00122899
Atox1,0.165096247,0.814680949
Sparc,0.721074992,0.505552102
Mief2,-0.225430388,0.592303934
Tbx3,1.076499082,0.691603285
Crhr1,1.529090192,0.526633664
Tada2a,-0.628262674,0.099771406
Ikzf1,-0.908528083,1.85E-06
Pnpo,-0.435231053,0.37919017
Copz2,0.459380817,0.667595629
Slc25a39,-0.570673882,0.383611906
Aatf,-0.868054994,6.51E-07
Lhx1,3.636315489,NA
Slc25a35,-0.240440051,0.635568785
Zbtb4,-0.341063423,0.280489754
Atp5g3,-0.890632463,0.071983994
Cd68,-0.049397916,0.945296251
Acsl1,-0.621804746,0.053274323
Lsp1,0.445037129,0.140566434
Myh11,0.607201666,0.624641476
Fndc8,-1.716686333,0.047913125
Pank3,-1.375012388,0.00109106
Rars,-1.154616891,2.47E-07
Slc22a5,-0.316556999,0.495212028
Arrb1,0.141114829,0.774489959
Alox15,2.068504245,0.154601413
Ccl6,0.538497591,0.5408616
Ccl4,0.146143147,0.933868523
Natd1,0.831364654,0.018135787
Ywhah,-0.99426632,0.006553216
E2f2,-0.325263059,0.417202896
Fis1,-0.298097283,0.550608022
Rab3d,0.471954891,0.427456867
Mfsd3,-0.228668255,0.772871116
Dnase1l1,0.500519437,0.304658679
Isyna1,-0.818812473,0.059207083
Tmem160,0.08463061,0.899601215
Lhx9,1.911628493,0.084356401
Tmem129,-0.567080968,0.247771604
Atp6v0a1,-0.584894213,0.023219966
Grb7,-1.057503577,0.014015385
Noxo1,1.89102045,0.018565236
Gdpd2,0.733219863,0.686208615
Calm3,-0.884583311,0.018181781
Ffar3,0.146045681,0.899236651
Tlcd1,-0.724406718,0.051036793
Arhgef25,-0.042484334,0.985166063
Rab4a,0.391936043,0.759863457
Trip10,-0.641866797,0.120124545
Rcn3,0.357297166,0.693037448
Arid3a,-0.913713043,0.000793827
Akt3,0.14633268,0.620179846
Lyst,-0.753584188,0.000678811
Calr3,-0.92014508,0.266539248
Syne4,0.489170445,0.541782009
Polr2i,-0.761841204,0.095744156
Esr1,1.159421544,0.003240677
Fbxo5,-0.576634917,0.235755933
Hdac2,-0.494068657,0.145167332
Rwdd1,-1.058337227,0.000266407
Hint3,-0.171171739,0.778971132
Lrp11,0.945895918,0.084356401
Nr2e1,2.229435221,0.294697479
Aig1,0.045315702,0.881632416
Fuca2,0.186238074,0.675191712
Ltv1,-0.524654201,0.025953635
Plagl1,2.544638755,0.255734275
Cd164,-0.755237766,0.017018103
Utrn,2.517182645,5.12E-15
Smpd2,-0.412894473,0.297534207
Mical1,-0.351268781,0.234203292
Rab32,-0.139437319,0.865383281
Gtf3c6,-0.50054122,0.1080783
Slc16a10,-0.059053449,0.926377179
Fyn,0.794793951,0.00450927
Lama4,0.686911391,0.689849394
Tnfaip3,-0.022328792,0.959686777
Arfgef3,1.048742155,0.732639635
Asf1a,-0.73443114,0.046564442
Qrsl1,-0.521611027,0.218509054
Smpdl3a,0.392159805,0.542222769
Lama2,0.91350221,0.667595629
Lims1,-0.073765181,0.877805471
Ube2d1,-0.138053945,0.663078301
Cdk1,-1.410971024,0.007944843
Atp2b1,-0.432411998,0.008292946
Rhobtb1,0.518814866,0.397113896
Actr6,-0.841283205,0.025897728
Uhrf1bp1l,-0.637275125,0.001166422
Poc1b,-0.252456881,0.439194311
Dusp6,-0.439121527,0.248182881
Kitl,-0.168559821,0.850665531
Sgk1,0.559064253,0.166722477
Cep290,1.627023531,8.72E-05
Epb41l2,-0.392961128,0.153172689
Apaf1,3.858235963,1.18E-34
Myb,0.149654045,0.84161276
Ahi1,2.59940887,6.67E-09
Ccn2,0.386749513,0.825659172
Stx7,-0.331852196,0.268929768
