design,SRR6223112,SRR6223113,SRR6223114,SRR6223115,SRR6223116,SRR6223117,SRR6223118,SRR6223119,SRR6223120,SRR6223121,SRR6223122,SRR6223123,SRR6223124,SRR6223125,SRR6223126,SRR6223127,SRR6223128,SRR6223129,SRR6223130,SRR6223131,SRR6223132,SRR6223133,SRR6223134,SRR6223135
genotype,csn110,csn110,csn110,csn5a1,csn5a1,csn5a1,csn5b1,csn5b1,csn5b1,Col0,Col0,Col0,csn110,csn110,csn110,csn5a1,csn5a1,csn5a1,csn5b1,csn5b1,csn5b1,Col0,Col0,Col0
time,2day,2day,2day,2day,2day,2day,2day,2day,2day,2day,2day,2day,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry
